OTU_ID	102	117	160	162	186	26	52	79	88	9
OTU_0	913	1836	665	1307	2082	983	466	1754	243	150
OTU_1	330	741	2144	2343	1680	614	83	1225	460	397
OTU_10	0	0	170	15	22	0	0	0	16	28
OTU_11	0	0	0	158	0	0	0	0	52	0
OTU_12	42	33	0	14	32	34	34	55	6	24
OTU_13	12	152	22	0	0	45	0	0	0	61
OTU_14	7	0	149	11	11	9	0	0	55	8
OTU_15	22	0	192	25	0	0	0	0	0	0
OTU_16	33	0	94	0	0	0	0	0	0	0
OTU_17	0	112	0	0	4	0	0	0	0	0
OTU_18	12	48	10	0	30	0	45	60	0	0
OTU_19	2	2	67	28	39	8	0	23	19	0
OTU_2	1324	2864	5471	3505	2172	1345	185	1418	1442	1636
OTU_20	0	45	0	9	30	0	0	14	0	0
OTU_21	0	38	0	0	0	0	0	0	0	0
OTU_22	0	32	0	0	0	0	0	0	0	0
OTU_23	0	0	0	0	0	0	0	21	0	0
OTU_24	0	0	0	0	0	0	16	0	0	0
OTU_25	0	0	0	0	0	15	0	0	0	0
OTU_26	3	0	0	5	2	3	0	0	0	0
OTU_27	0	0	0	0	0	0	0	0	0	12
OTU_28	0	0	11	0	0	0	0	0	0	0
OTU_29	9	0	0	0	0	0	0	0	0	0
OTU_3	40	0	1219	0	30	23	0	0	571	31
OTU_30	0	8	0	0	0	0	0	0	0	0
OTU_31	0	0	8	0	0	0	0	0	0	0
OTU_32	0	0	0	0	0	0	8	0	0	0
OTU_33	0	7	0	0	0	0	0	0	0	0
OTU_34	0	10	0	0	0	0	0	0	0	0
OTU_35	0	0	0	0	0	0	0	6	0	0
OTU_36	0	5	0	0	0	0	0	0	0	0
OTU_37	0	0	0	0	0	0	0	4	0	8
OTU_38	3	0	0	0	0	0	0	0	0	0
OTU_39	3	0	0	0	0	0	0	0	0	0
OTU_4	1052	2374	148	135	85	1002	609	1402	0	168
OTU_40	3	0	0	0	0	0	0	0	0	0
OTU_41	0	0	0	0	0	0	0	0	0	2
OTU_42	0	0	0	0	0	0	1	0	0	0
OTU_43	0	0	0	0	0	0	1	0	0	0
OTU_5	0	1588	0	0	0	1215	0	1165	0	0
OTU_6	148	63	100	128	172	83	0	117	34	38
OTU_7	162	785	0	0	0	331	0	0	61	0
OTU_8	292	1941	184	238	587	197	0	615	192	0
OTU_9	0	184	67	86	94	251	151	436	0	0
