"","S27","S28","S35","S36","S37","S38","S45","S46"
"ASV_8",118,171,109,82,112,188,125,103
"ASV_62",15,16,6,47,11,10,0,1
"ASV_58",20,6,5,50,0,5,0,8
"ASV_21",134,79,54,100,66,85,24,69
"ASV_13",72,73,83,62,66,68,104,112
"ASV_4",112,113,170,73,171,175,234,215
"ASV_2",95,114,217,84,199,140,308,242
"ASV_6",110,130,112,68,115,126,175,132
"ASV_80",10,15,7,0,18,9,14,0
"ASV_39",8,12,14,13,18,11,23,29
"ASV_37",66,44,21,54,26,14,13,25
"ASV_85",21,0,17,14,26,20,7,15
"ASV_44",50,64,20,50,17,33,40,46
"ASV_34",8,51,45,15,65,3,5,3
"ASV_15",59,65,58,19,60,62,73,32
"ASV_18",54,135,62,63,41,76,51,87
"ASV_40",62,0,25,29,36,25,33,31
"ASV_51",19,12,14,15,14,17,44,25
"ASV_30",65,43,28,83,32,46,25,32
"ASV_47",43,32,24,25,17,35,44,91
"ASV_11",159,157,110,132,103,138,177,305
"ASV_56",35,32,19,22,35,0,25,58
"ASV_93",3,5,2,4,7,2,3,3
"ASV_22",98,89,153,113,144,72,63,52
"ASV_19",104,84,141,144,137,65,30,52
"ASV_41",37,29,17,103,14,27,15,32
"ASV_55",14,16,0,25,0,8,15,53
"ASV_24",128,55,22,148,23,72,13,64
"ASV_59",41,34,19,39,19,16,6,12
"ASV_33",76,43,6,103,18,61,11,27
"ASV_14",224,251,111,187,80,192,39,87
"ASV_29",119,92,42,109,43,147,30,94
"ASV_63",30,39,21,22,13,12,0,7
"ASV_17",108,133,103,77,111,65,99,55
"ASV_23",15,46,110,44,75,43,55,44
"ASV_70",8,10,10,9,15,15,13,14
"ASV_3",18,47,170,40,166,76,25,0
"ASV_1",97,262,433,166,411,440,197,43
"ASV_5",24,78,140,30,157,103,39,13
"ASV_9",173,271,188,109,193,127,181,135
"ASV_27",78,67,94,46,63,48,57,50
"ASV_45",39,0,24,22,27,24,27,44
"ASV_28",60,93,58,46,59,31,53,59
"ASV_36",49,54,24,22,21,30,36,36
"ASV_35",84,72,16,33,23,24,22,37
"ASV_48",7,31,21,19,15,18,41,28
"ASV_83",1,5,4,2,1,6,33,33
"ASV_64",6,4,11,7,5,12,48,38
"ASV_84",8,10,11,9,2,11,1,3
"ASV_42",30,17,0,13,0,18,41,84
"ASV_12",158,172,84,83,84,75,121,170
"ASV_89",4,4,4,4,7,5,7,19
"ASV_31",4,8,14,4,13,59,129,79
