"","S73","S74","S81","S82","S87","S88","S95","S96"
"ASV_8",61,93,50,67,71,45,80,63
"ASV_21",117,50,6,5,7,0,13,75
"ASV_13",46,139,25,18,33,0,126,210
"ASV_4",119,190,54,130,112,76,343,239
"ASV_2",143,235,182,227,298,252,354,250
"ASV_6",179,223,160,205,169,125,203,151
"ASV_39",17,23,19,7,14,8,19,29
"ASV_34",5,20,21,34,8,21,6,3
"ASV_7",0,2,472,252,120,303,36,10
"ASV_49",0,14,30,11,28,34,5,22
"ASV_20",0,43,59,72,51,104,94,47
"ASV_15",15,73,49,68,102,113,111,36
"ASV_10",9,32,348,369,116,350,25,7
"ASV_17",43,74,44,46,25,24,42,33
"ASV_23",0,18,29,51,32,15,129,67
"ASV_3",26,114,246,325,283,246,69,23
"ASV_1",111,574,966,961,1183,1118,465,83
"ASV_5",20,140,263,287,268,287,186,20
"ASV_9",95,143,67,101,35,49,87,60
"ASV_28",42,42,23,29,14,8,34,65
"ASV_25",0,26,15,22,36,22,206,116
"ASV_83",0,2,0,1,8,4,7,20
"ASV_84",0,11,4,1,0,6,7,10
"ASV_12",99,210,29,24,0,18,115,126
"ASV_31",0,9,5,6,45,14,100,92
