"","S53","S54","S55","S56","S65","S66","S67","S68"
"ASV_38",29,15,9,27,28,6,21,12
"ASV_8",120,78,142,139,97,86,143,149
"ASV_21",8,13,25,4,1,0,111,33
"ASV_13",80,101,86,45,38,58,66,81
"ASV_4",159,132,226,187,110,136,173,145
"ASV_43",20,20,20,21,17,18,14,0
"ASV_2",296,263,244,199,250,288,182,236
"ASV_6",139,134,161,176,166,190,102,134
"ASV_39",34,31,14,18,23,29,13,24
"ASV_34",55,48,13,23,16,22,13,7
"ASV_7",77,14,33,52,428,403,0,6
"ASV_49",2,28,5,2,2,3,0,14
"ASV_15",78,83,86,85,56,60,32,69
"ASV_18",27,52,61,19,7,11,70,87
"ASV_10",170,75,57,119,210,137,11,21
"ASV_19",30,46,29,21,4,4,60,53
"ASV_17",50,108,68,50,16,20,110,109
"ASV_23",41,50,44,28,31,30,29,29
"ASV_70",12,6,9,7,4,0,7,12
"ASV_3",594,277,471,308,413,376,26,117
"ASV_26",94,54,58,84,84,117,15,34
"ASV_125",1,5,1,2,1,1,0,7
"ASV_1",682,735,911,1232,974,1006,384,866
"ASV_16",75,77,93,116,88,75,49,88
"ASV_5",308,308,261,281,284,304,79,198
"ASV_9",83,132,89,85,8,23,141,173
"ASV_27",54,63,44,41,14,0,61,77
"ASV_28",26,41,21,30,14,0,88,36
"ASV_36",16,10,23,24,0,7,79,52
"ASV_25",13,33,14,20,9,9,0,15
"ASV_12",59,161,51,36,8,11,114,69
"ASV_31",17,25,9,10,8,12,17,25
