"","S25","S26","S33","S34","S39","S40","S47","S48"
"ASV_8",62,102,58,76,93,37,86,64
"ASV_13",61,116,20,28,25,16,153,141
"ASV_4",130,177,72,120,116,64,356,185
"ASV_43",20,27,0,14,28,15,27,34
"ASV_2",149,235,237,233,237,231,380,215
"ASV_6",141,215,220,120,132,133,176,130
"ASV_39",19,23,9,14,17,6,23,24
"ASV_34",0,22,31,48,8,17,4,4
"ASV_7",2,6,425,255,99,302,39,7
"ASV_49",0,18,31,18,14,5,2,13
"ASV_20",0,38,86,75,17,72,78,38
"ASV_15",8,73,59,54,81,69,87,28
"ASV_18",40,67,6,14,5,0,86,102
"ASV_10",2,52,332,320,57,248,17,4
"ASV_11",131,64,7,0,9,2,72,164
"ASV_133",2,2,5,2,1,3,1,0
"ASV_17",43,104,35,54,18,19,54,37
"ASV_23",10,24,23,52,25,21,139,60
"ASV_3",22,124,205,265,254,227,53,20
"ASV_26",0,31,113,84,76,70,22,8
"ASV_1",101,611,984,982,1492,1190,444,103
"ASV_16",17,69,140,111,214,180,50,0
"ASV_5",24,140,256,286,352,312,154,44
"ASV_9",84,127,46,70,36,13,96,70
"ASV_27",29,53,19,39,0,10,20,15
"ASV_28",46,46,36,22,8,7,42,80
"ASV_36",45,50,0,18,0,5,16,19
"ASV_84",0,12,0,3,3,1,15,3
"ASV_12",154,238,24,34,10,8,112,167
"ASV_89",6,6,0,4,0,1,5,6
"ASV_31",10,12,5,5,24,10,80,91
