"","S75","S76","S83","S84","S85","S86","S93","S94"
"ASV_8",104,143,149,82,115,175,118,101
"ASV_58",38,5,12,43,26,7,4,19
"ASV_21",127,69,55,125,130,82,22,52
"ASV_13",59,94,73,46,36,70,97,126
"ASV_4",75,124,187,92,108,159,253,175
"ASV_2",78,101,211,103,101,158,292,236
"ASV_6",95,108,75,67,111,114,170,118
"ASV_39",22,20,26,10,12,23,26,22
"ASV_37",62,28,25,61,60,20,22,42
"ASV_44",47,18,41,32,46,52,41,40
"ASV_49",0,12,11,22,8,23,40,38
"ASV_15",53,94,78,21,17,54,41,33
"ASV_32",20,0,29,33,49,43,59,121
"ASV_61",48,0,18,0,16,30,16,0
"ASV_18",64,63,47,67,93,62,50,107
"ASV_40",47,51,30,31,36,35,24,0
"ASV_10",13,15,73,24,0,6,16,4
"ASV_51",21,6,16,15,0,35,32,16
"ASV_30",68,51,41,85,81,61,17,25
"ASV_47",42,38,19,25,33,50,31,63
"ASV_11",159,154,107,155,203,126,166,320
"ASV_56",25,30,33,24,25,0,47,65
"ASV_93",1,4,2,4,0,11,1,4
"ASV_22",93,121,161,97,86,67,78,64
"ASV_19",113,124,150,121,79,63,38,0
"ASV_41",56,21,19,114,78,25,4,41
"ASV_75",20,11,4,44,22,12,5,0
"ASV_55",21,3,6,25,49,17,12,81
"ASV_24",122,69,31,165,166,54,10,52
"ASV_59",25,13,10,38,30,18,4,22
"ASV_106",8,6,14,8,4,5,0,21
"ASV_33",76,28,19,105,108,58,9,38
"ASV_14",235,173,81,169,268,204,40,84
"ASV_29",110,60,38,118,236,153,36,107
"ASV_17",82,121,89,78,64,95,107,92
"ASV_23",24,33,108,51,28,35,69,58
"ASV_70",11,14,13,6,8,13,17,15
"ASV_3",14,46,150,41,21,70,33,0
"ASV_1",94,284,433,156,120,384,200,54
"ASV_5",16,70,132,56,26,89,49,0
"ASV_9",148,234,178,102,125,155,176,160
"ASV_27",75,79,73,65,47,44,70,49
"ASV_28",82,58,65,50,42,44,48,98
"ASV_36",56,26,56,27,31,30,55,0
"ASV_35",92,36,25,41,33,15,31,64
"ASV_48",16,3,22,22,7,31,35,89
"ASV_83",0,1,1,4,1,6,37,37
"ASV_64",4,6,6,5,7,11,48,61
"ASV_84",6,9,7,4,8,16,5,6
"ASV_42",28,21,0,8,0,20,64,85
"ASV_12",167,168,105,95,79,105,169,181
"ASV_89",2,0,6,0,14,5,5,14
"ASV_31",7,9,6,8,12,40,164,168
