"","S3","S4","S11","S12","S13","S14","S21","S22"
"ASV_8",146,167,140,92,103,156,118,99
"ASV_58",19,6,0,41,33,11,0,18
"ASV_21",130,91,62,138,144,107,29,59
"ASV_13",77,66,67,60,35,62,104,83
"ASV_4",104,127,168,85,89,155,265,174
"ASV_2",78,91,241,108,89,130,288,237
"ASV_6",113,100,138,122,99,101,137,130
"ASV_39",12,23,16,20,16,11,25,16
"ASV_37",54,44,25,67,83,33,8,32
"ASV_85",30,21,16,19,14,0,9,0
"ASV_44",58,43,37,65,46,32,16,43
"ASV_15",36,81,60,17,21,62,81,31
"ASV_32",26,0,23,45,38,52,76,65
"ASV_18",69,73,66,80,62,67,58,88
"ASV_51",19,30,15,10,20,35,24,20
"ASV_30",41,29,42,81,77,31,21,36
"ASV_47",43,37,22,23,34,29,35,59
"ASV_11",157,156,88,135,175,167,188,325
"ASV_56",26,23,27,36,0,20,35,50
"ASV_93",8,0,3,7,13,1,4,3
"ASV_22",97,84,111,99,81,77,75,67
"ASV_19",119,114,136,111,91,52,39,39
"ASV_41",33,12,8,96,56,37,12,19
"ASV_75",21,16,11,35,27,10,0,4
"ASV_55",19,4,0,25,43,19,19,60
"ASV_24",121,62,24,131,187,85,15,71
"ASV_59",33,10,12,38,43,25,11,14
"ASV_106",14,4,21,6,8,7,17,0
"ASV_46",49,43,0,63,64,43,0,34
"ASV_33",65,37,20,99,90,59,17,48
"ASV_14",259,169,72,207,292,197,47,103
"ASV_29",102,86,31,96,276,151,34,117
"ASV_111",3,10,0,3,4,1,0,17
"ASV_63",22,28,12,21,18,20,10,7
"ASV_122",6,10,9,0,8,10,3,0
"ASV_17",90,130,111,59,56,86,68,75
"ASV_23",17,38,100,55,24,23,76,31
"ASV_70",13,19,10,6,10,12,23,12
"ASV_3",19,53,169,30,31,54,44,0
"ASV_1",69,294,395,165,109,383,189,64
"ASV_5",22,72,126,34,21,88,63,0
"ASV_9",157,208,179,128,141,118,165,173
"ASV_27",90,100,72,38,40,34,62,31
"ASV_90",0,2,0,6,0,15,12,15
"ASV_45",28,39,29,28,40,14,46,37
"ASV_28",63,59,44,41,46,33,56,72
"ASV_36",33,51,32,31,39,34,38,27
"ASV_35",51,34,27,22,28,26,38,48
"ASV_48",9,7,13,19,31,38,31,55
"ASV_83",1,2,2,6,2,10,26,30
"ASV_64",6,7,4,6,15,18,48,47
"ASV_84",6,4,7,13,6,7,2,6
"ASV_42",37,19,0,13,26,22,53,101
"ASV_12",143,162,67,79,78,74,148,160
"ASV_89",3,2,8,0,2,3,6,24
"ASV_31",9,13,15,9,29,67,124,155
