"","S99","S100","S107","S108","S109","S110","S117","S118"
"ASV_8",121,148,121,73,125,137,126,104
"ASV_62",21,7,3,43,31,7,0,5
"ASV_58",23,8,7,57,40,9,4,9
"ASV_21",143,127,69,123,155,119,32,68
"ASV_13",64,70,93,48,33,55,86,114
"ASV_4",111,100,176,84,110,174,258,176
"ASV_2",99,87,235,97,77,158,315,227
"ASV_6",106,93,122,86,89,112,218,145
"ASV_39",16,16,22,11,11,20,16,33
"ASV_37",80,46,28,74,63,28,17,20
"ASV_85",25,14,13,17,11,43,9,14
"ASV_44",62,24,38,51,56,36,53,48
"ASV_15",58,77,80,39,28,73,77,43
"ASV_32",27,0,37,43,44,44,68,86
"ASV_53",0,18,0,28,35,39,0,19
"ASV_61",37,10,26,25,21,0,21,0
"ASV_114",3,0,7,8,1,0,6,6
"ASV_18",95,95,73,64,96,70,65,107
"ASV_40",48,54,37,38,36,43,38,39
"ASV_10",15,19,115,21,3,7,11,0
"ASV_51",20,16,27,17,22,23,31,35
"ASV_30",64,45,38,89,80,45,23,45
"ASV_47",51,36,21,18,53,51,46,80
"ASV_11",188,156,114,142,182,157,202,426
"ASV_56",29,31,38,26,31,0,35,55
"ASV_93",2,2,7,5,2,11,8,5
"ASV_22",119,88,170,123,88,96,72,95
"ASV_19",98,111,152,129,85,99,49,42
"ASV_41",43,42,15,104,72,29,16,15
"ASV_75",21,17,8,46,28,12,0,6
"ASV_55",18,11,11,16,47,12,21,38
"ASV_24",139,59,29,119,174,87,21,46
"ASV_59",35,14,11,23,46,22,7,5
"ASV_106",6,2,0,5,9,8,0,1
"ASV_46",43,57,0,75,70,55,0,33
"ASV_33",66,50,13,87,89,47,13,48
"ASV_14",210,229,68,167,286,214,45,81
"ASV_29",100,68,24,93,198,134,26,72
"ASV_111",20,14,0,1,3,1,0,13
"ASV_133",2,2,2,1,1,1,0,6
"ASV_63",35,40,15,25,11,14,13,0
"ASV_17",89,131,99,58,50,95,92,52
"ASV_23",28,27,99,52,25,39,67,48
"ASV_70",0,18,8,8,0,12,11,10
"ASV_1",126,189,357,140,88,344,161,47
"ASV_9",183,217,151,124,138,136,184,102
"ASV_27",51,90,79,56,38,42,58,18
"ASV_45",0,29,21,28,34,35,28,43
"ASV_28",85,59,62,56,25,33,47,60
"ASV_36",41,65,13,36,28,31,16,21
"ASV_35",65,75,28,37,29,34,34,54
"ASV_48",8,6,9,19,10,22,34,51
"ASV_83",0,3,2,3,2,4,25,25
"ASV_64",0,6,2,3,5,13,38,51
"ASV_84",0,7,0,8,3,7,5,6
"ASV_12",168,172,80,72,66,85,145,167
"ASV_89",4,0,7,9,1,0,8,9
"ASV_31",10,12,10,7,19,52,96,97
