"","S29","S30","S31","S32","S41","S42","S43","S44"
"ASV_38",40,0,5,9,73,42,15,26
"ASV_8",109,100,149,126,95,84,130,185
"ASV_13",87,127,69,58,47,65,64,54
"ASV_4",139,151,245,174,127,161,151,186
"ASV_2",243,267,250,192,256,344,160,180
"ASV_6",145,143,214,163,187,229,108,133
"ASV_39",18,42,20,22,42,24,27,13
"ASV_34",63,47,22,16,23,30,8,6
"ASV_7",91,28,30,51,388,407,0,4
"ASV_49",3,26,12,35,1,3,0,12
"ASV_15",61,75,76,56,50,51,38,80
"ASV_18",26,54,46,23,7,9,83,84
"ASV_10",145,95,58,89,209,174,14,24
"ASV_22",12,36,32,6,0,4,41,32
"ASV_19",27,40,41,24,3,0,58,70
"ASV_17",62,100,48,62,25,12,124,93
"ASV_23",48,56,43,41,25,20,31,26
"ASV_70",5,14,14,10,4,3,14,14
"ASV_3",612,278,337,258,341,310,36,96
"ASV_26",113,73,66,108,88,78,33,35
"ASV_1",717,682,901,1308,977,944,370,889
"ASV_16",66,65,85,108,69,75,51,115
"ASV_5",319,263,227,281,257,267,89,189
"ASV_110",0,6,0,7,0,1,0,11
"ASV_9",108,110,108,74,22,15,172,149
"ASV_27",44,50,51,24,13,2,59,74
"ASV_28",19,41,10,15,9,6,95,31
"ASV_36",17,18,28,7,0,4,84,38
"ASV_25",18,30,20,23,18,14,0,16
"ASV_12",70,135,75,50,11,7,88,72
"ASV_31",9,23,13,7,7,13,14,9
