"","S49","S50","S57","S58","S63","S64","S71","S72"
"ASV_38",11,47,16,35,101,81,13,38
"ASV_8",71,97,68,86,75,66,82,79
"ASV_21",137,26,2,6,1,0,26,85
"ASV_13",47,96,22,33,27,32,158,153
"ASV_4",104,169,60,121,94,110,372,193
"ASV_43",16,30,25,0,26,17,32,25
"ASV_2",138,207,209,264,256,239,350,195
"ASV_6",136,173,222,151,144,134,212,129
"ASV_39",15,23,12,8,17,21,35,25
"ASV_34",9,22,29,44,16,13,8,3
"ASV_7",4,2,492,211,141,143,28,12
"ASV_49",0,11,12,21,22,2,2,9
"ASV_20",0,27,74,81,41,46,93,36
"ASV_15",22,87,64,70,84,80,80,31
"ASV_18",45,54,6,27,4,8,88,108
"ASV_10",11,33,298,338,130,92,17,3
"ASV_11",135,56,11,8,8,0,65,180
"ASV_17",46,131,24,54,21,13,50,28
"ASV_23",16,35,37,47,24,17,120,54
"ASV_3",29,115,260,242,229,252,63,28
"ASV_1",110,648,925,922,1214,1233,356,87
"ASV_16",27,64,153,131,166,168,43,0
"ASV_5",23,160,253,286,311,314,140,11
"ASV_9",100,143,62,82,31,28,94,66
"ASV_28",46,63,19,32,6,7,48,57
"ASV_36",55,51,7,18,0,4,15,23
"ASV_25",0,22,10,19,23,25,243,104
"ASV_12",137,245,32,43,9,8,102,165
"ASV_89",1,3,0,5,11,6,1,5
"ASV_31",10,12,13,4,23,28,109,107
