"","S101","S102","S103","S104","S113","S114","S115","S116"
"ASV_95",33,0,17,2,41,5,15,19
"ASV_38",82,39,50,23,76,57,28,19
"ASV_8",94,79,134,95,110,78,152,167
"ASV_13",73,143,78,47,52,48,86,74
"ASV_4",166,178,244,205,123,143,224,181
"ASV_2",304,322,227,247,308,276,232,211
"ASV_6",185,178,193,199,192,186,156,168
"ASV_39",41,29,19,35,35,37,17,16
"ASV_34",91,95,20,35,27,44,5,31
"ASV_7",139,74,40,80,419,512,4,5
"ASV_49",1,9,4,34,21,5,11,18
"ASV_15",89,122,109,92,47,71,53,99
"ASV_18",71,76,60,54,0,14,109,115
"ASV_10",210,137,61,129,233,199,12,29
"ASV_22",10,30,31,13,0,9,35,33
"ASV_17",56,67,58,52,20,16,78,105
"ASV_23",35,55,54,49,27,30,18,28
"ASV_70",8,9,3,4,5,6,10,17
"ASV_3",482,297,339,282,283,314,35,82
"ASV_26",105,60,47,96,52,74,22,42
"ASV_125",10,10,0,1,0,3,2,8
"ASV_1",633,585,819,1057,864,804,372,750
"ASV_16",55,66,71,99,77,78,48,92
"ASV_5",242,241,197,255,186,234,83,160
"ASV_9",71,93,117,74,27,24,126,153
"ASV_36",9,19,26,20,11,0,77,47
"ASV_25",15,24,25,19,17,12,0,13
"ASV_12",53,73,90,50,13,13,74,57
"ASV_31",5,10,12,11,13,10,6,21
