"","S97","S98","S105","S106","S111","S112","S119","S120"
"ASV_38",13,59,93,111,138,369,7,0
"ASV_8",68,85,78,76,65,50,69,57
"ASV_13",57,114,33,30,15,0,135,166
"ASV_4",117,174,80,101,77,80,344,285
"ASV_2",124,275,214,326,250,231,334,250
"ASV_6",167,213,201,200,115,110,149,160
"ASV_39",15,22,19,15,17,15,34,29
"ASV_34",2,17,31,66,16,24,13,4
"ASV_7",4,8,535,374,171,369,63,20
"ASV_49",0,19,12,26,3,28,2,13
"ASV_20",0,26,86,78,56,88,130,49
"ASV_15",22,75,69,67,94,126,123,50
"ASV_10",2,30,348,426,110,301,23,7
"ASV_51",14,12,4,4,0,5,32,40
"ASV_11",125,71,0,10,0,4,82,159
"ASV_19",97,50,15,21,7,0,27,37
"ASV_17",38,91,29,42,12,22,35,31
"ASV_23",16,31,39,50,11,18,107,82
"ASV_3",29,77,192,229,171,184,65,19
"ASV_1",130,456,835,691,896,904,344,98
"ASV_16",13,55,126,67,164,143,44,0
"ASV_5",36,105,191,196,219,220,117,23
"ASV_9",86,170,57,53,18,42,95,75
"ASV_28",42,57,22,36,0,22,48,34
"ASV_12",97,207,28,23,17,9,120,137
"ASV_31",2,6,7,8,16,30,81,95
