"","S173","S174","S175","S176","S185","S186","S187","S188"
"ASV_8",162,90,151,137,107,81,160,195
"ASV_13",101,110,78,60,49,49,100,73
"ASV_4",178,178,295,181,147,160,197,231
"ASV_43",0,32,0,26,24,14,0,25
"ASV_2",325,275,258,240,272,314,217,237
"ASV_6",230,152,189,184,197,189,187,135
"ASV_80",11,9,10,10,3,0,14,17
"ASV_39",24,26,25,24,22,21,23,34
"ASV_34",84,63,20,27,27,47,6,28
"ASV_7",109,41,29,55,486,508,5,7
"ASV_49",13,17,30,0,8,9,6,21
"ASV_15",80,125,81,89,65,84,32,105
"ASV_18",52,78,63,38,9,10,114,136
"ASV_10",169,131,56,114,253,213,12,25
"ASV_22",18,47,27,14,3,4,41,55
"ASV_17",65,93,64,58,18,14,68,82
"ASV_23",49,50,58,39,16,43,14,27
"ASV_70",4,10,13,13,0,4,10,12
"ASV_3",462,277,411,304,296,286,33,90
"ASV_26",101,71,87,82,88,75,17,32
"ASV_125",9,7,0,1,1,1,0,11
"ASV_1",629,648,798,1046,949,847,420,772
"ASV_16",60,57,73,88,77,71,68,77
"ASV_5",236,248,210,298,224,243,86,199
"ASV_9",92,100,126,85,24,21,150,141
"ASV_27",41,53,44,38,0,16,78,76
"ASV_36",1,23,13,15,5,15,86,44
"ASV_25",15,28,29,23,10,13,0,13
"ASV_12",54,107,77,52,6,18,85,42
"ASV_31",6,17,11,6,9,13,8,19
