"","S125","S126","S127","S128","S137","S138","S139","S140"
"ASV_38",0,5,0,3,0,13,0,7
"ASV_8",134,96,158,126,105,99,160,190
"ASV_13",89,105,99,78,46,54,82,72
"ASV_4",147,177,272,236,133,152,207,178
"ASV_2",290,273,242,263,291,262,178,184
"ASV_6",161,157,208,192,227,200,106,177
"ASV_80",19,0,12,0,13,12,8,12
"ASV_39",28,40,19,30,40,40,21,16
"ASV_34",64,74,25,25,12,39,8,27
"ASV_7",110,34,35,71,531,603,0,9
"ASV_15",94,124,88,102,72,74,52,134
"ASV_32",25,39,23,19,9,18,37,27
"ASV_10",182,118,57,112,252,220,6,27
"ASV_22",17,33,21,11,6,7,66,32
"ASV_17",65,94,55,46,29,17,72,97
"ASV_23",65,56,50,38,34,36,18,20
"ASV_3",571,255,396,295,361,280,35,74
"ASV_26",76,63,74,74,72,62,24,32
"ASV_1",643,594,811,982,820,787,303,799
"ASV_16",65,47,67,79,73,54,34,81
"ASV_5",284,273,214,226,242,238,80,202
"ASV_9",91,110,94,96,39,16,151,148
"ASV_28",19,48,35,26,11,0,72,34
"ASV_36",12,18,0,12,0,5,81,56
"ASV_25",0,29,24,25,27,15,16,21
"ASV_12",70,120,62,67,0,9,90,55
"ASV_31",10,27,12,13,16,10,12,20
