"","S147","S148","S155","S156","S157","S158","S165","S166"
"ASV_8",111,151,144,80,126,171,119,101
"ASV_62",19,9,9,41,25,1,0,2
"ASV_58",23,7,4,41,28,12,0,6
"ASV_21",162,71,74,102,125,95,18,70
"ASV_13",64,83,95,55,46,56,97,118
"ASV_4",86,134,165,118,125,167,249,222
"ASV_2",69,93,235,109,91,161,352,284
"ASV_6",99,116,108,111,102,78,205,170
"ASV_39",17,20,19,28,10,10,38,21
"ASV_37",48,45,29,70,70,39,8,29
"ASV_85",22,20,13,17,17,21,0,20
"ASV_44",56,28,35,42,53,33,22,50
"ASV_34",24,70,59,30,2,9,4,1
"ASV_49",10,17,15,30,0,5,23,21
"ASV_15",46,111,84,28,29,81,104,21
"ASV_32",21,18,38,32,47,46,78,103
"ASV_61",0,22,36,30,0,20,0,19
"ASV_18",88,92,77,91,112,87,71,122
"ASV_40",44,40,32,42,40,53,27,42
"ASV_10",12,16,105,21,1,5,21,4
"ASV_51",13,17,14,21,22,32,29,33
"ASV_30",64,53,35,84,121,54,20,37
"ASV_47",43,36,27,43,36,32,32,71
"ASV_11",181,193,117,129,193,139,156,398
"ASV_93",1,3,2,8,27,15,0,5
"ASV_22",117,127,159,115,93,72,75,78
"ASV_19",86,120,169,152,76,65,0,33
"ASV_41",72,22,14,88,84,41,7,34
"ASV_55",24,9,0,23,32,10,12,55
"ASV_24",91,36,27,127,139,58,0,45
"ASV_59",16,9,9,26,34,13,0,4
"ASV_46",58,35,0,54,77,49,0,49
"ASV_33",67,34,7,89,92,55,12,45
"ASV_14",233,141,82,155,276,146,54,50
"ASV_29",66,58,25,58,150,75,0,52
"ASV_63",18,31,18,28,17,16,10,7
"ASV_17",112,98,91,75,43,85,96,61
"ASV_23",22,50,94,53,24,39,79,61
"ASV_70",6,12,5,9,5,5,14,0
"ASV_1",94,294,368,207,100,383,223,30
"ASV_5",26,80,113,43,20,91,66,0
"ASV_9",199,208,179,117,143,167,197,90
"ASV_27",92,99,67,57,39,41,64,28
"ASV_45",47,19,20,0,22,27,38,39
"ASV_28",68,71,46,65,37,31,50,65
"ASV_36",28,29,35,38,41,37,25,28
"ASV_35",68,49,19,36,29,29,25,46
"ASV_48",18,10,12,19,22,28,25,35
"ASV_83",0,6,1,2,1,6,30,20
"ASV_64",0,8,1,5,5,11,39,27
"ASV_84",0,7,4,4,5,9,2,1
"ASV_12",163,141,56,80,67,122,111,121
"ASV_89",6,1,4,9,0,2,2,10
"ASV_31",9,6,9,10,17,37,104,90
