"","S171","S172","S179","S180","S181","S182","S189","S190"
"ASV_8",130,162,132,77,112,152,91,75
"ASV_21",114,74,50,121,164,110,38,95
"ASV_13",75,84,84,59,43,0,109,105
"ASV_4",112,123,184,106,126,235,256,197
"ASV_2",62,78,230,107,97,151,305,272
"ASV_6",105,129,97,60,117,122,176,155
"ASV_80",16,17,17,0,11,0,11,0
"ASV_39",11,25,20,18,5,0,23,26
"ASV_37",72,49,33,55,63,41,13,18
"ASV_44",71,48,43,29,53,78,44,71
"ASV_34",14,70,71,21,4,7,0,2
"ASV_7",3,1,14,5,10,0,4,5
"ASV_15",45,98,76,29,48,97,56,47
"ASV_18",81,76,75,77,114,144,66,126
"ASV_40",78,31,43,41,52,0,30,46
"ASV_10",12,18,113,16,5,3,17,0
"ASV_51",23,24,21,18,16,0,35,46
"ASV_30",84,29,39,95,117,55,20,45
"ASV_47",48,23,37,28,54,31,36,78
"ASV_11",212,160,121,135,213,110,183,427
"ASV_56",28,29,32,32,21,0,20,62
"ASV_93",1,2,2,1,1,25,1,16
"ASV_22",113,90,171,125,111,68,79,101
"ASV_19",139,102,152,140,76,53,43,44
"ASV_41",61,13,24,108,97,33,6,26
"ASV_75",36,10,5,53,30,9,0,7
"ASV_55",29,12,8,19,44,26,13,48
"ASV_24",94,38,21,132,134,77,0,45
"ASV_59",26,8,12,25,35,34,0,5
"ASV_106",5,2,4,7,14,51,0,1
"ASV_33",73,34,13,80,100,43,0,29
"ASV_14",238,171,74,166,236,194,59,75
"ASV_29",87,56,35,90,129,125,0,73
"ASV_111",0,10,0,5,2,33,0,8
"ASV_133",4,3,0,3,3,3,0,4
"ASV_17",86,135,100,79,56,102,80,25
"ASV_23",19,43,78,61,20,49,95,20
"ASV_70",8,6,12,8,1,10,13,13
"ASV_1",106,290,372,202,105,407,246,33
"ASV_9",147,253,170,150,136,139,167,51
"ASV_27",81,108,62,43,43,49,68,13
"ASV_45",27,24,33,29,20,0,29,38
"ASV_28",69,71,41,45,29,88,54,58
"ASV_36",37,24,16,34,44,0,15,25
"ASV_35",57,42,19,24,17,27,28,36
"ASV_48",10,4,12,10,14,34,49,25
"ASV_64",0,6,2,9,4,17,45,33
"ASV_84",0,13,4,7,6,12,2,2
"ASV_12",144,175,56,82,58,104,121,136
"ASV_89",2,1,9,9,10,28,4,12
"ASV_31",8,7,12,5,16,66,137,74
