SampleID,PlotID,Block,Irrigation,Fertilization,x,rep,rep2,var3,Date,Depth,GWC,TS,NH4,NO3,Nmin_tot,C_tot,N_tot,C_gkg,N_gkg,pH,K_test,Mg_test,P_test,K_mgkg,Mg_mgkg,P_mgkg
S16,16,8,Rainout,M,rain.M,3,3,RMBS1,28/04/2022,0-15cm,0.121,89.2,11.7,15.4,27.1,1.21,0.129,12.1,1.3,5.72,1.02,14.4,5.1,8.5,144,0.8
S17,17,9,Control,K,cont.K,3,3,CKBS1,28/04/2022,0-15cm,0.314,76.1,6.9,7.5,14.4,1.43,0.148,14.3,1.5,5.67,1.24,12.3,9.7,10.3,123,1.5
S18,18,9,Rainout,K,rain.K,3,3,RKBS1,28/04/2022,0-15cm,0.098,91.1,7.7,11.3,19,1.39,0.145,13.9,1.5,5.99,0.99,10.6,7.2,8.2,106,1.1
S19,19,10,Control,K,cont.K,4,4,CKBS1,28/04/2022,0-15cm,0.307,76.5,5,5.4,10.5,1.54,0.155,15.4,1.6,5.9,0.93,10.6,9.1,7.7,106,1.4
S20,20,10,Rainout,K,rain.K,4,4,RKBS1,28/04/2022,0-15cm,0.087,92,14.1,21.5,35.6,1.38,0.145,13.8,1.5,6.3,1.94,11.8,12.7,16.1,118,2
S21,21,11,Control,D,cont.D,4,4,CDBS1,28/04/2022,0-15cm,0.351,74,0.6,13,13.6,1.89,0.203,18.9,2,6.75,0.92,15.6,4.7,7.6,156,0.7
S22,22,11,Rainout,D,rain.D,4,4,RDBS1,28/04/2022,0-15cm,0.166,85.8,0,13.4,13.4,2.13,0.232,21.3,2.3,6.74,0.99,16.4,5.4,8.2,164,0.8
S23,23,12,Control,M,cont.M,4,4,CMBS1,28/04/2022,0-15cm,0.314,76.1,1.7,7.1,8.8,1.72,0.191,17.2,1.9,6.05,0.81,18.3,6.7,6.7,183,1
S24,24,12,Rainout,M,rain.M,4,4,RMBS1,28/04/2022,0-15cm,0.148,87.1,10,40,50,1.7,0.192,17,1.9,6.23,0.9,17.9,4.7,7.5,179,0.7
S25,1,1,Control,M,cont.M,5,1,CMBS2,1/6/22,0-15cm,0.184,84.4,1.3,10.1,11.4,1.47,0.162,14.7,1.6,6.58,0.99,15.2,5.6,8.2,152,0.9
