"","GWC_g_g","TS","NH4","NO3","Nmin_tot","C_tot","N_tot","pH","K_mgkg","Mg_mgkg","P_mgkg","AOA_Richness","AOA_Shannon","AOA_InvSimpson"
"S96",0.184,84.4,12.7,58.1,70.8,1.78,0.215,6.13,8.7,193,0.7,83,3.90520112172669,35.390153377486
"S97",0.283,77.9,0.7,9.9,10.5,1.45,0.163,6.57,12.5,162,1.1,103,4.07871258711702,43.9294936996661
"S98",0.304,76.7,1.8,6.6,8.4,1.41,0.159,6.3,8.3,152,1.1,90,3.79388069567315,26.4186474952683
"S99",0.286,77.7,0.2,14.8,15,1.75,0.194,6.91,14.9,141,1.8,75,3.90379321408032,39.2733419274775
"S100",0.281,78.1,1.3,21.4,22.7,1.75,0.193,6.94,19.3,137,1.3,92,3.96836039877007,38.4238808469662
"S101",0.317,75.9,1.7,12,13.7,1.41,0.16,6.21,12.3,117,1.7,63,3.18932006701455,14.7258392216404
"S102",0.276,78.4,1.4,14.8,16.2,1.5,0.168,6.27,12.8,126,1.7,67,3.42716433255931,18.4948234428765
"S103",0.314,76.1,3.4,9,12.4,1.55,0.167,6.39,13.7,117,1.7,71,3.30800596071145,13.6258750343333
"S104",0.267,78.9,1.1,7.6,8.7,1.41,0.161,6.28,9.5,124,1.2,57,3.01860665331242,9.75729659762331
"S105",0.263,79.2,1.9,8.4,10.3,1.25,0.137,6.38,9.2,157,0.8,58,2.99090380381049,10.9769714366875
"S106",0.244,80.4,1.4,9.5,10.9,1.22,0.138,6.13,7.7,153,1.3,58,3.10272082874052,13.2314623588479
"S107",0.299,77,0,13.7,13.7,1.6,0.178,6.84,16.9,133,1.8,91,3.83602492717773,31.3298200547047
"S108",0.314,76.1,0,16.8,16.8,1.66,0.187,6.94,16.9,129,1.8,108,4.20162788822528,51.2209401292015
"S109",0.301,76.9,0.1,14.1,14.2,1.71,0.194,6.86,12,131,1.1,102,4.00148598599355,38.467364538472
"S110",0.299,77,0.1,17.8,17.9,1.9,0.211,6.94,16.8,145,2.2,80,3.86429696864278,33.6066498224029
"S111",0.256,79.6,2.2,13.5,15.7,1.23,0.141,5.93,12.3,144,0.6,58,2.97939804572415,10.4662887151978
"S112",0.246,80.3,2.3,9.7,12,1.28,0.141,5.79,11.5,146,0.9,49,2.86321179027423,10.4348132577809
"S113",0.286,77.8,3.9,10.2,14,1.51,0.166,6.14,18.3,126,1.7,53,3.01731408378063,11.3175128980992
"S114",0.299,77,3.1,10.6,13.7,1.4,0.16,5.99,12,118,1.5,50,2.96022160485085,11.3667125435999
"S115",0.261,79.3,0.8,9.4,10.1,1.39,0.159,6.2,8.1,111,1.3,94,3.88963333500016,31.5984110657307
"S116",0.247,80.2,1.4,11.6,13,1.32,0.15,6.31,12.6,112,1,84,3.55510236944902,17.0740834622048
"S117",0.352,74,0.1,17,17.1,2.01,0.222,6.78,10.7,169,1.1,85,3.8207499802801,30.7597741021903
"S118",0.315,76,0.1,15.4,15.4,2.18,0.247,6.78,8.5,184,1.2,87,3.85113282813099,30.5672974041924
"S119",0.285,77.8,0.4,8.8,9.2,1.74,0.204,6.12,6.4,203,0.9,71,3.6306098226464,24.7409084782316
"S120",0.275,78.4,0.8,10.2,10.9,1.82,0.209,6.23,6.2,190,0.8,95,3.959902861298,35.4794239876293
