,nr,plot,block,irrigation,fertilization,type,rep,sampling.date,x,var3,AOA_nbc_per_ngDNA,AOA_nbc_per_g_DW_soil,AOA_16S_ratio_percent,AOB_nbc_per_ngDNA,AOB_nbc_per_g_DW_soil,AOB_16S_ratio_percent,AOA_AOB_ratio,AOA_AOB_ratio_percent,ComA_nbc_per_ngDNA,ComA_nbc_per_g_DW_soil,ComA_16S_ratio_percent,ComB_nbc_per_ngDNA,ComB_nbc_per_g_DW_soil,ComB_16S_ratio_percent,ComA_ComB_ratio,ComA_ComB_ratio_percent,Tot_nbc_per_ngDNA,Tot_nbc_per_g_DW_soil,AOA_logDWS,AOB_logDWS,ComA_logDWS,ComB_logDWS,Tot_logDWS,AOA_16.arc.ratio,AOB_16.arc.ratio,ComA_16.arc.ratio,ComB_16.arc.ratio,AOA_AOB.arc.ratio,ComA_ComB.arc.ratio
S66,66,18,9,rainout,K,BS,3,Jul 5th,rain.K,RKBS3,7010,3.31E+08,2.26,8510,4.02E+08,2.75,0.82,82.37690399,1260,59600000,0.408,156,7360000,0.05,8.11,810.7972994,310000,1.46E+10,8.519827994,8.604226053,7.77524626,6.866877814,10.16435286,0.150905055,0.166600862,0.063918393,0.022362544,0.090678067,0.288777561
S67,67,19,10,control,K,BS,4,Jul 5th,cont.K,CKBS3,10500,4.54E+08,2.07,11700,5.06E+08,2.3,0.9,89.75903676,2130,92100000,0.419,396,17200000,0.078,5.37,536.8511907,507000,2.20E+10,8.657055853,8.704150517,7.96425963,7.235528447,10.34242268,0.144375996,0.152244963,0.064775498,0.027932112,0.095011212,0.233858393
S68,68,20,10,rainout,K,BS,4,Jul 5th,rain.K,RKBS3,7320,2.59E+08,1.85,7710,2.73E+08,1.95,0.95,94.90385586,2000,70800000,0.505,336,11900000,0.085,5.95,595.4991222,396000,1.40E+10,8.413299764,8.436162647,7.850033258,7.075546961,10.14612804,0.136437614,0.140100268,0.0711233,0.029158891,0.097622931,0.246412311
S69,69,21,11,control,D,BS,4,Jul 5th,cont.D,CDBS3,6650,4.10E+08,1.76,6560,4.05E+08,1.74,1.01,101.2552684,2380,1.47E+08,0.63,339,20900000,0.09,7.02,701.5280517,378000,2.33E+10,8.612783857,8.607455023,8.167317335,7.320146286,10.36735592,0.133057257,0.132294623,0.079456118,0.030004502,0.100668703,0.268155
S70,70,22,11,rainout,D,BS,4,Jul 5th,rain.D,RDBS3,8090,5.54E+08,2.65,6190,4.24E+08,2.03,1.31,130.6994267,2310,1.58E+08,0.756,245,16800000,0.08,9.43,943.4992996,306000,2.09E+10,8.743509765,8.627365857,8.198657087,7.225309282,10.32014629,0.163515899,0.142964577,0.08705819,0.028288044,0.11470661,0.312126467
S71,71,23,12,control,M,BS,4,Jul 5th,cont.M,CMBS3,5940,2.49E+08,1.55,8740,3.65E+08,2.28,0.68,67.9961729,2370,99200000,0.62,252,10600000,0.066,9.39,939.4472239,382000,1.60E+10,8.396199347,8.562292864,7.996511672,7.025305865,10.20411998,0.124822883,0.151576444,0.078821671,0.025693292,0.082555857,0.311441459
S72,72,24,12,rainout,M,BS,4,Jul 5th,rain.M,RMBS3,8210,3.83E+08,1.74,9470,4.42E+08,2.01,0.87,86.74173708,2600,1.21E+08,0.551,284,13200000,0.06,9.15,914.7084812,471000,2.20E+10,8.583198774,8.645422269,8.08278537,7.120573931,10.34242268,0.132294623,0.142253761,0.074297711,0.024497348,0.09340957,0.307303611
S73,73,1,1,control,M,BS,1,Jul 20th,cont.M,CMBS4,8970,3.65E+08,NA,10400,4.22E+08,NA,0.86,86.39918903,1450,59100000,NA,240,9750000,NA,6.06,605.6028348,NA,NA,8.562292864,8.625312451,7.771587481,6.989004616,NA,NA,NA,NA,NA,0.092869624,0.24872735
S74,74,2,1,rainout,M,BS,1,Jul 20th,rain.M,RMBS4,7500,2.38E+08,1.64,8190,2.60E+08,1.79,0.92,91.53297173,1170,3.70E+07,0.255,189,6.00E+06,0.041,6.18,617.5707799,458000,1.45E+10,8.376576957,8.414973348,7.568201724,6.77815125,10.161368,0.128415131,0.134193274,0.050519011,0.020249841,0.096064315,0.251230541
S75,75,3,2,control,D,BS,1,Jul 20th,cont.D,CDBS4,7820,3.88E+08,2.31,5940,2.95E+08,1.75,1.32,131.6782751,1230,61300000,0.364,226,11200000,0.067,5.46,546.4562647,339000,1.68E+10,8.588831726,8.469822016,7.787460475,7.049218023,10.22530928,0.152578158,0.132676475,0.060369074,0.02588725,0.115145527,0.235846802
S76,76,4,2,rainout,D,BS,1,Jul 20th,rain.D,RDBS4,6680,3.03E+08,2.05,7010,3.18E+08,2.15,0.95,95.33573504,1220,55200000,0.372,150,6790000,0.046,8.13,812.9597079,327000,1.48E+10,8.481442629,8.50242712,7.741939078,6.831869774,10.17026172,0.143671971,0.147159352,0.061029681,0.021449255,0.097622931,0.289143671
S77,77,5,3,control,K,BS,1,Jul 20th,cont.K,CKBS4,5130,2.11E+08,1.9,11400,4.70E+08,4.24,0.45,44.91501287,1210,49700000,0.448,139,5740000,0.052,8.66,866.2434137,270000,1.11E+10,8.324282455,8.672097858,7.696356389,6.758911892,10.04532298,0.138280757,0.207396204,0.06698288,0.022805485,0.067132453,0.298700795
S78,78,6,3,rainout,K,BS,1,Jul 20th,rain.K,RKBS4,8990,4.01E+08,2.34,9850,4.39E+08,2.56,0.91,91.23258887,1430,6.40E+07,0.373,176,7830000,0.046,8.17,816.808775,385000,1.72E+10,8.603144373,8.64246452,7.806179974,6.893761762,10.23552845,0.153573542,0.160690653,0.061111757,0.021449255,0.095539197,0.289874662
S79,79,7,4,control,K,BS,2,Jul 20th,cont.K,CKBS4,9900,4.28E+08,2.4,9170,3.97E+08,2.23,1.08,107.9001419,2670,1.15E+08,0.647,309,13400000,0.075,8.62,862.2654946,412000,1.78E+10,8.631443769,8.598790507,8.06069784,7.127104798,10.25042,0.155545801,0.149892507,0.080523301,0.027389552,0.104111025,0.297988933
S80,80,8,4,rainout,K,BS,2,Jul 20th,rain.K,RKBS4,6800,2.85E+08,2.07,7850,3.30E+08,2.39,0.87,86.57345489,1700,71300000,0.516,177,7410000,0.054,9.62,961.7605808,329000,1.38E+10,8.45484486,8.51851394,7.85308953,6.869818208,10.13987909,0.144375996,0.155218776,0.07189506,0.023239992,0.09340957,0.315362641
S81,81,9,5,control,M,BS,2,Jul 20th,cont.M,CMBS4,7370,1.99E+08,2.36,9190,2.48E+08,2.94,0.8,80.22788774,2130,57500000,0.683,232,6250000,0.074,9.2,919.9961135,312000,8.42E+09,8.298853076,8.394451681,7.759667845,6.795880017,9.925312091,0.154233674,0.172315771,0.082738181,0.027206297,0.089562407,0.308169645
S82,82,10,5,rainout,M,BS,2,Jul 20th,rain.M,RMBS4,4970,1.45E+08,1.63,8570,2.50E+08,2.82,0.58,57.97098322,1550,45300000,0.51,139,4070000,0.046,11.12,1112.270879,304000,8.88E+09,8.161368002,8.397940009,7.656098202,6.609594409,9.948412966,0.128020863,0.168728008,0.071475126,0.021449255,0.076231543,0.339978306
S83,83,11,6,control,D,BS,2,Jul 20th,cont.D,CDBS4,8120,4.35E+08,2.28,5660,3.03E+08,1.59,1.44,143.5241734,1840,98600000,0.517,265,14200000,0.074,6.96,695.737657,357000,1.91E+10,8.638489257,8.481442629,7.993876915,7.152288344,10.28103337,0.151576444,0.126431768,0.071964813,0.027206297,0.120289882,0.266978427
S84,84,12,6,rainout,D,BS,2,Jul 20th,rain.D,RDBS4,12400,6.20E+08,2.54,7210,3.62E+08,1.48,1.71,171.2634069,1890,94800000,0.389,259,1.30E+07,0.053,7.29,728.6032951,486000,2.44E+10,8.792391689,8.558708571,7.976808337,7.113943352,10.38738983,0.160056287,0.12195735,0.062410372,0.023023763,0.131142552,0.273393031
S85,85,13,7,control,D,BS,3,Jul 20th,cont.D,CDBS4,5830,3.46E+08,1.85,6830,4.06E+08,2.17,0.85,85.35091759,1430,85100000,0.455,261,15500000,0.083,5.48,548.1214941,315000,1.87E+10,8.539076099,8.608526034,7.92992956,7.190331698,10.27184161,0.136437614,0.147847238,0.067504945,0.028813707,0.092326557,0.236286568
S86,86,14,7,rainout,D,BS,3,Jul 20th,rain.D,RDBS4,8130,4.24E+08,1.93,7090,3.70E+08,1.69,1.15,114.5820605,1390,72300000,0.33,228,11900000,0.054,6.08,607.9083437,420000,2.19E+10,8.627365857,8.568201724,7.859138297,7.075546961,10.34044411,0.13937524,0.13036898,0.057477269,0.023239992,0.107444664,0.249146147
S87,87,15,8,control,M,BS,3,Jul 20th,cont.M,CMBS4,4520,1.36E+08,1.7,5300,1.59E+08,2,0.85,85.34046635,1360,40900000,0.512,163,4880000,0.061,8.37,836.6945531,265000,7.97E+09,8.133538908,8.201397124,7.611723308,6.688419822,9.901458321,0.130756325,0.141897055,0.071615376,0.02470069,0.092326557,0.293505435
S88,88,16,8,rainout,M,BS,3,Jul 20th,rain.M,RMBS4,3000,84700000,1.2,5640,1.59E+08,2.26,0.53,53.25408925,976,27500000,0.39,89.2,2510000,0.036,10.94,1093.88805,250000,7.05E+09,7.92788341,8.201397124,7.439332694,6.399673721,9.848189117,0.109764792,0.150905055,0.062490644,0.018974805,0.07286556,0.337105301
S89,89,17,9,control,K,BS,3,Jul 20th,cont.K,CKBS4,6750,2.92E+08,2.04,7300,3.15E+08,2.2,0.92,92.42557624,1270,5.50E+07,0.384,233,10100000,0.07,5.47,547.0007021,331000,1.43E+10,8.465382851,8.498310554,7.740362689,7.004321374,10.15533604,0.143318699,0.14887328,0.062007462,0.026460601,0.096064315,0.23606678
S90,90,18,9,rainout,K,BS,3,Jul 20th,rain.K,RKBS4,8280,2.92E+08,2.53,7080,2.50E+08,2.16,1.17,116.9322374,1220,43100000,0.374,151,5340000,0.046,8.09,808.5048766,327000,1.15E+10,8.465382851,8.397940009,7.63447727,6.727541257,10.06069784,0.159738192,0.147503684,0.061193724,0.021449255,0.108378581,0.288411039
S91,91,19,10,control,K,BS,4,Jul 20th,cont.K,CKBS4,8310,3.26E+08,2.19,12800,5.00E+08,3.37,0.65,65.11563273,2410,94300000,0.635,315,12300000,0.083,7.65,764.5851691,379000,1.48E+10,8.5132176,8.698970004,7.974511693,7.089905111,10.17026172,0.14853203,0.184622638,0.079771464,0.028813707,0.080710175,0.280240041
S92,92,20,10,rainout,K,BS,4,Jul 20th,rain.K,RKBS4,6890,2.95E+08,2.01,7690,3.29E+08,2.24,0.9,89.63083697,1650,70700000,0.482,203,8700000,0.059,8.12,812.348605,342000,1.47E+10,8.469822016,8.517195898,7.849419414,6.939519253,10.16731733,0.142253761,0.150230758,0.069482114,0.024292305,0.095011212,0.288960668
S93,93,21,11,control,D,BS,4,Jul 20th,cont.D,CDBS4,7330,5.08E+08,2.88,6420,4.45E+08,2.52,1.14,114.0918944,2540,1.76E+08,0.996,381,26400000,0.149,6.67,666.9250163,255000,1.77E+10,8.705863712,8.648360011,8.245512668,7.421603927,10.24797327,0.170530956,0.159419484,0.099966214,0.03861011,0.106974695,0.261224218
S94,94,22,11,rainout,D,BS,4,Jul 20th,rain.D,RDBS4,8090,4.62E+08,2.66,6480,3.70E+08,2.13,1.25,124.9048666,1390,79500000,0.458,248,14200000,0.082,5.62,561.53118,304000,1.73E+10,8.664641976,8.568201724,7.900367129,7.152288344,10.2380461,0.163826914,0.146468331,0.067727463,0.028639557,0.112037643,0.239344015
S95,95,23,12,control,M,BS,4,Jul 20th,cont.M,CMBS4,7920,3.85E+08,1.77,11400,5.53E+08,2.54,0.7,69.5549049,2310,1.12E+08,0.515,286,13900000,0.064,8.08,807.6932443,448000,2.18E+10,8.58546073,8.742725131,8.049218023,7.1430148,10.33845649,0.133436978,0.160056287,0.071825241,0.025300921,0.083763922,0.288227624
S96,96,24,12,rainout,M,BS,4,Jul 20th,rain.M,RMBS4,9040,3.86E+08,2.36,9890,4.23E+08,2.58,0.91,91.3726813,2520,1.08E+08,0.657,239,10200000,0.062,10.57,1057.092486,384000,1.64E+10,8.586587305,8.626340367,8.033423755,7.008600172,10.21484385,0.154233674,0.16132261,0.081144556,0.024902373,0.095539197,0.331133717
S97,97,1,1,control,M,BS,1,Sept 13th,cont.M,CMBS5,6890,3.47E+08,1.71,9030,4.54E+08,2.24,0.76,76.3178609,1330,6.70E+07,0.331,218,1.10E+07,0.054,6.11,610.7768235,403000,2.03E+10,8.540329475,8.657055853,7.826074803,7.041392685,10.30749604,0.131142552,0.150230758,0.057564386,0.023239992,0.087288784,0.249773136
S98,98,2,1,rainout,M,BS,1,Sept 13th,rain.M,RMBS5,7860,2.86E+08,1.92,9230,3.36E+08,2.26,0.85,85.11213771,1210,44200000,0.297,205,7450000,0.05,5.93,593.3694809,409000,1.49E+10,8.456366033,8.526339277,7.645422269,6.872156273,10.17318627,0.139011345,0.150905055,0.054524719,0.022362544,0.092326557,0.245989249
S99,99,3,2,control,D,BS,1,Sept 13th,cont.D,CDBS5,8120,4.48E+08,2.83,6640,3.66E+08,2.32,1.22,122.1934395,1730,95700000,0.605,258,14200000,0.09,6.72,672.2008775,287000,1.58E+10,8.651278014,8.563481085,7.980911938,7.152288344,10.19865709,0.169029783,0.15291065,0.07786039,0.030004502,0.110679441,0.262224479
S100,100,4,2,rainout,D,BS,1,Sept 13th,rain.D,RDBS5,7340,4.08E+08,2.72,5750,3.20E+08,2.13,1.28,127.5588936,1500,83500000,0.557,220,12300000,0.082,6.81,681.2752631,269000,1.50E+10,8.610660163,8.505149978,7.921686475,7.089905111,10.17609126,0.165681184,0.146468331,0.074701891,0.028639557,0.113379845,0.264016286
S101,101,5,3,control,K,BS,1,Sept 13th,cont.K,CKBS5,10500,4.06E+08,2.42,9680,3.73E+08,2.23,1.09,108.8829355,1570,60400000,0.361,282,10900000,0.065,5.55,555.1721953,435000,1.67E+10,8.608526034,8.571708832,7.781036939,7.037426498,10.22271647,0.156197864,0.149892507,0.060119484,0.02549786,0.104593667,0.237819828
S102,102,6,3,rainout,K,BS,1,Sept 13th,rain.K,RKBS5,6980,2.48E+08,2.4,7560,2.68E+08,2.59,0.92,92.35448396,1260,44600000,0.431,109,3860000,0.037,11.58,1157.564251,291000,1.03E+10,8.394451681,8.428134794,7.649334859,6.586587305,10.01283722,0.155545801,0.161637695,0.065697841,0.01923657,0.096064315,0.34722953
S103,103,7,4,control,K,BS,2,Sept 13th,cont.K,CKBS5,8340,3.32E+08,2.14,8810,3.51E+08,2.27,0.95,94.60138228,1480,5.90E+07,0.381,250,9930000,0.064,5.94,594.2397827,389000,1.55E+10,8.521138084,8.545307116,7.770852012,6.996949248,10.1903317,0.146814236,0.151241111,0.06176446,0.025300921,0.097622931,0.246200864
S104,104,8,4,rainout,K,BS,2,Sept 13th,rain.K,RKBS5,9870,3.40E+08,3.34,7370,2.54E+08,2.49,1.34,133.9179341,2390,82400000,0.809,167,5770000,0.057,14.29,1428.852999,295000,1.02E+10,8.531478917,8.404833717,7.915927212,6.761175813,10.00860017,0.183789616,0.158459646,0.090066146,0.023876941,0.116018468,0.38765792
S105,105,9,5,control,M,BS,2,Sept 13th,cont.M,CMBS5,5990,1.83E+08,2.07,7990,2.44E+08,2.76,0.75,74.88026659,1860,56600000,0.641,223,6800000,0.077,8.32,832.4646202,290000,8.84E+09,8.26245109,8.387389826,7.752816431,6.832508913,9.946452265,0.144375996,0.166906337,0.080148257,0.027752436,0.086711161,0.292601475
S106,106,10,5,rainout,M,BS,2,Sept 13th,rain.M,RMBS5,6790,2.14E+08,1.73,6970,2.19E+08,1.77,0.97,97.42803084,1880,59100000,0.477,133,4200000,0.034,14.07,1406.655006,393000,1.24E+10,8.330413773,8.340444115,7.771587481,6.62324929,10.09342169,0.131911691,0.133436978,0.069120212,0.018440134,0.0986485,0.384504634
S107,107,11,6,control,D,BS,2,Sept 13th,cont.D,CDBS5,11800,6.45E+08,2.52,6820,3.72E+08,1.45,1.74,173.6244757,2970,1.62E+08,0.633,289,15800000,0.062,10.28,1028.289768,470000,2.56E+10,8.809559715,8.57054294,8.209515015,7.198657087,10.40823997,0.159419484,0.120708866,0.079645474,0.024902373,0.132294623,0.326388606
S108,108,12,6,rainout,D,BS,2,Sept 13th,rain.D,RDBS5,12900,6.85E+08,2.97,7120,3.77E+08,1.63,1.82,181.5297209,2480,1.32E+08,0.57,173,9170000,0.04,14.34,1433.969912,436000,2.31E+10,8.835690571,8.57634135,8.120573931,6.962369336,10.36361198,0.173201554,0.128020863,0.075570252,0.020001334,0.135319983,0.388371746
S109,109,13,7,control,D,BS,3,Sept 13th,cont.D,CDBS5,5780,3.27E+08,1.78,5880,3.32E+08,1.81,0.98,98.28989174,903,51100000,0.279,239,13500000,0.074,3.77,377.4191798,324000,1.83E+10,8.514547753,8.521138084,7.7084209,7.130333768,10.26245109,0.133815648,0.134945433,0.052845043,0.027206297,0.099157358,0.195406055
S110,110,14,7,rainout,D,BS,3,Sept 13th,rain.D,RDBS5,6620,3.81E+08,1.93,5330,3.07E+08,1.55,1.24,124.0549405,1200,68900000,0.348,195,11200000,0.057,6.13,613.0831325,344000,1.98E+10,8.580924976,8.487138375,7.838219222,7.049218023,10.29666519,0.13937524,0.124822883,0.059025794,0.023876941,0.111586715,0.25019033
S111,111,15,8,control,M,BS,3,Sept 13th,cont.M,CMBS5,5670,1.46E+08,1.97,8900,2.29E+08,3.09,0.64,63.73147335,1290,33100000,0.446,182,4670000,0.063,7.09,708.5159456,288000,7.42E+09,8.164352856,8.359835482,7.519827994,6.669316881,9.870403905,0.14082166,0.17670207,0.066832974,0.025102437,0.08008558,0.269521808
S112,112,16,8,rainout,M,BS,3,Sept 13th,rain.M,RMBS5,3110,78600000,1.11,8860,2.24E+08,3.16,0.35,35.14084126,1270,3.20E+07,0.451,103,2590000,0.037,12.34,1233.888359,281000,7.09E+09,7.895422546,8.350248018,7.505149978,6.413299764,9.850646235,0.105552427,0.178713681,0.067207116,0.01923657,0.059195363,0.35894147
S113,113,17,9,control,K,BS,3,Sept 13th,cont.K,CKBS5,6860,2.73E+08,2.01,8770,3.49E+08,2.57,0.78,78.18250278,1660,65800000,0.485,162,6430000,0.047,10.22,1022.398574,341000,1.36E+10,8.436162647,8.542825427,7.818225894,6.808210973,10.13353891,0.142253761,0.161006931,0.069698359,0.021681182,0.088432826,0.3253995
S114,114,18,9,rainout,K,BS,3,Sept 13th,rain.K,RKBS5,8770,3.10E+08,2.59,8670,3.07E+08,2.56,1.01,101.0882854,1260,44600000,0.372,125,4430000,0.037,10.06,1006.456532,339000,1.20E+10,8.491361694,8.487138375,7.649334859,6.646403726,10.07918125,0.161637695,0.160690653,0.061029681,0.01923657,0.100668703,0.322749225
S115,115,19,10,control,K,BS,4,Sept 13th,cont.K,CKBS5,9050,3.41E+08,1.83,7310,2.75E+08,1.48,1.24,123.7899279,1290,48500000,0.261,316,11900000,0.064,4.07,407.0285104,493000,1.86E+10,8.532754379,8.439332694,7.685741739,7.075546961,10.26951294,0.135693524,0.12195735,0.051110409,0.025300921,0.111586715,0.203136584
S116,116,20,10,rainout,K,BS,4,Sept 13th,rain.K,RKBS5,8870,2.71E+08,2.08,8010,2.45E+08,1.88,1.11,110.6720838,2180,66600000,0.511,232,7080000,0.054,9.4,940.1954501,426000,1.30E+10,8.432969291,8.389166084,7.823474229,6.850033258,10.11394335,0.144726759,0.137546389,0.071545285,0.023239992,0.105552427,0.311612833
S117,117,21,11,control,D,BS,4,Sept 13th,cont.D,CDBS5,6910,3.85E+08,2.56,6990,3.90E+08,2.58,0.99,98.93884539,2470,1.38E+08,0.914,276,15400000,0.102,8.98,897.8023867,271000,1.51E+10,8.58546073,8.591064607,8.139879086,7.187520721,10.17897695,0.160690653,0.16132261,0.095749585,0.031942871,0.099663652,0.304343051
S118,118,22,11,rainout,D,BS,4,Sept 13th,rain.D,RDBS5,8610,5.56E+08,2.22,6350,4.10E+08,1.63,1.36,135.558122,2360,1.52E+08,0.607,182,11700000,0.047,13,1299.561649,389000,2.51E+10,8.745074792,8.612783857,8.181843588,7.068185862,10.39967372,0.149553513,0.128020863,0.07798924,0.021681182,0.116885005,0.368862984
S119,119,23,12,control,M,BS,4,Sept 13th,cont.M,CMBS5,6970,3.48E+08,1.8,10300,5.15E+08,2.67,0.67,67.47293163,2810,1.40E+08,0.724,306,15200000,0.079,9.19,918.8625252,388000,1.93E+10,8.541579244,8.711807229,8.146128036,7.181843588,10.28555731,0.134569866,0.16413736,0.085191199,0.028110641,0.081945208,0.307996608
S120,120,24,12,rainout,M,BS,4,Sept 13th,rain.M,RMBS5,8470,3.97E+08,2.06,8710,4.09E+08,2.12,0.97,97.21713797,2290,1.07E+08,0.556,209,9800000,0.051,10.97,1096.966605,412000,1.93E+10,8.598790507,8.611723308,8.029383778,6.991226076,10.28555731,0.144024402,0.14612163,0.074634678,0.0225851,0.0986485,0.337585566
