nr,plot,block,irrigation,fertilization ,type,sampling date,AOA_nbc_per_g_DW_soil,AOB_nbc_per_g_DW_soil,AOA_nbc_per_ngDNA,AOB_nbc_per_ngDNA
64,16,8,rainout,M,BS,05/07/2022,7.62E+07,1.27E+08,3.36E+03,5.57E+03
65,17,9,control,K,BS,05/07/2022,2.35E+08,3.06E+08,5.81E+03,7.56E+03
66,18,9,rainout,K,BS,05/07/2022,3.34E+08,4.05E+08,7.01E+03,8.51E+03
67,19,10,control,K,BS,05/07/2022,4.58E+08,5.10E+08,1.05E+04,1.17E+04
68,20,10,rainout,K,BS,05/07/2022,2.60E+08,2.74E+08,7.32E+03,7.71E+03
69,21,11,control,D,BS,05/07/2022,4.13E+08,4.08E+08,6.65E+03,6.56E+03
70,22,11,rainout,D,BS,05/07/2022,5.50E+08,4.21E+08,8.09E+03,6.19E+03
71,23,12,control,M,BS,05/07/2022,2.49E+08,3.67E+08,5.94E+03,8.74E+03
72,24,12,rainout,M,BS,05/07/2022,3.90E+08,4.49E+08,8.21E+03,9.47E+03
73,1,1,control,M,BS,20/07/2022,3.67E+08,4.25E+08,8.97E+03,1.04E+04
74,2,1,rainout,M,BS,20/07/2022,2.38E+08,2.60E+08,7.50E+03,8.19E+03
75,3,2,control,D,BS,20/07/2022,3.91E+08,2.97E+08,7.82E+03,5.94E+03
76,4,2,rainout,D,BS,20/07/2022,3.06E+08,3.21E+08,6.68E+03,7.01E+03
77,5,3,control,K,BS,20/07/2022,2.14E+08,4.76E+08,5.13E+03,1.14E+04
78,6,3,rainout,K,BS,20/07/2022,3.98E+08,4.36E+08,8.99E+03,9.85E+03
79,7,4,control,K,BS,20/07/2022,4.30E+08,3.99E+08,9.90E+03,9.17E+03
80,8,4,rainout,K,BS,20/07/2022,2.86E+08,3.31E+08,6.80E+03,7.85E+03
81,9,5,control,M,BS,20/07/2022,1.99E+08,2.48E+08,7.37E+03,9.19E+03
82,10,5,rainout,M,BS,20/07/2022,1.44E+08,2.48E+08,4.97E+03,8.57E+03
83,11,6,control,D,BS,20/07/2022,4.38E+08,3.05E+08,8.12E+03,5.66E+03
84,12,6,rainout,D,BS,20/07/2022,6.17E+08,3.60E+08,1.24E+04,7.21E+03
85,13,7,control,D,BS,20/07/2022,3.48E+08,4.07E+08,5.83E+03,6.83E+03
