,GWC_g_g,TS,NH4,NO3,Nmin_tot,C_tot,N_tot,pH,K_mgkg,Mg_mgkg,P_mgkg,AOB_Richness,AOB_Shannon,AOB_InvSimpson,AOA_Richness,AOA_Shannon,AOA_InvSimpson,COM_Richness,COM_Shannon,COM_InvSimpson
S36,0.089,91.8,0.1,7.2,7.3,1.64,0.181,6.76,12.6,137,1.1,72,3.497455012,18.84213423,117,4.222663394,49.86865359,64,3.18809048,13.66446903
S37,0.191,84,0.2,11.3,11.6,1.59,0.175,6.76,13.5,137,1.4,60,3.200890051,13.53608196,91,3.844073762,29.82961383,81,3.580589002,23.48615287
S38,0.095,91.4,0.2,9.6,9.8,1.75,0.194,6.74,9.5,146,1.1,41,2.83358187,9.370361924,97,3.855067883,29.56285332,70,3.371036175,18.11869818
S39,0.208,82.7,2.6,3.1,5.8,1.27,0.142,5.82,5.9,146,0.7,71,3.652682909,26.29049493,55,2.578869018,5.6521219,26,2.230001959,6.465447109
S40,0.082,92.4,7.5,15.2,22.8,1.15,0.133,5.68,9.2,143,0.9,53,3.162650453,14.26719678,67,2.78831341,7.843818307,22,2.19994684,6.295823873
S41,0.185,84.4,3.4,7.1,10.5,1.42,0.39,6.16,8.8,126,1.2,114,3.874937424,26.98814411,57,2.903266368,9.794654244,49,2.40792369,5.965145924
S42,0.078,92.8,15.1,27,42.1,1.47,0.167,6.17,10.5,123,1.3,61,2.725521706,6.275435475,55,2.851264713,9.814240725,35,2.040648926,4.270783702
S43,0.191,83.9,3.3,5.4,8.7,1.42,0.158,6.18,6.4,112,1.5,109,3.85162204,20.27390028,90,3.908818746,33.62943149,66,3.045378633,9.57315836
S44,0.073,93.2,19.7,39.2,58.9,1.36,0.157,6.31,14.1,115,1.6,97,3.738624211,23.50779529,90,3.469013007,13.70773947,61,3.048968493,12.05894093
S45,0.211,82.6,0.2,13.3,13.5,1.86,0.209,6.8,6.9,170,0.6,64,3.196345097,13.34375812,84,3.8729144,32.60914481,67,3.275173635,15.53400304
S46,0.121,89.2,0.7,11.5,12.2,2.2,0.246,6.61,9.5,173,1.1,46,3.059714549,13.01574379,86,3.931011022,35.22089236,64,3.092226206,12.51910722
S47,0.098,91.1,2.8,7.8,10.6,1.75,0.201,6.11,5.3,187,1,76,3.633938977,22.58394482,78,3.527905222,20.48266031,43,2.341922875,4.662129619
S48,0.108,90.2,21,61.5,82.5,1.76,0.215,6.28,14.4,195,1.1,60,3.309223476,16.76552076,112,4.156946502,44.31528438,62,3.170265014,13.50753325
S49,0.263,79.2,0.4,8.1,8.5,1.42,0.158,6.53,9.6,149,0.8,96,3.710358953,21.18052477,99,4.077947125,43.66224421,84,3.444923649,19.40039481
S50,0.054,94.9,7.1,14.2,21.3,1.47,0.163,6.11,10.4,161,1.6,94,3.682475654,22.43045092,84,3.617538412,19.71147904,66,3.254418212,14.54985439
S51,0.272,78.6,0.2,15.7,15.8,1.74,0.19,7.07,18,152,1.2,63,3.238256995,15.59143172,90,3.990763723,39.49006847,68,3.435620996,19.84825835
S52,0.063,94.1,1.8,7.8,9.6,1.76,0.191,6.8,16.2,127,1.5,17,2.328827594,7.127349367,26,2.848769036,13.39742785,0,0,0
S53,0.277,78.3,1.5,8.7,10.2,1.41,0.157,6.04,8.5,107,1.4,80,3.333781622,12.52475957,64,3.134516551,12.70340713,42,2.479609525,6.370871816
S54,0.062,94.2,13.5,30.5,44,1.45,0.167,6.24,12.9,120,1.1,90,3.654854795,20.58006511,76,3.410962188,15.57432799,48,2.655919975,6.305610451
S55,0.276,78.4,1,8.1,9.1,1.48,0.165,6.19,7.6,109,1,55,3.116172606,11.92082396,66,3.105158485,10.93529774,54,2.665426065,6.795596184
S56,0.047,95.5,11.8,23.5,35.3,1.51,0.168,6.26,16.8,136,1.6,91,3.680721183,22.34810041,60,2.871431792,7.76675958,47,2.753132874,9.343310479
S57,0.253,79.8,1.6,5.1,6.7,1.23,0.134,6.08,5.2,155,0.8,77,3.085730608,9.551706903,56,2.867056077,9.894042912,36,2.358555045,7.047766244
S58,0.056,94.7,5.1,13.3,18.4,1.17,0.133,6.12,6.4,146,0.9,105,3.664412482,18.26381295,69,3.062434731,11.07785158,56,2.740186862,8.014575156
S59,0.262,79.2,0.1,13.1,13.1,1.63,0.179,6.76,13,130,1.1,62,3.208173433,14.66149262,92,3.835855872,31.02545553,85,3.684824961,26.72674078
