"","GWC_g_g","TS","NH4","NO3","Nmin_tot","C_tot","N_tot","pH","K_mgkg","Mg_mgkg","P_mgkg","COM_Richness","COM_Shannon","COM_InvSimpson"
"S80",0.167,85.7,16.9,55.7,72.6,1.53,0.173,6.08,14.9,124,1.4,41,2.47610526560357,5.876281975338
"S81",0.286,77.8,0.9,8,8.9,1.11,0.128,5.9,4.7,147,0.5,34,2.30306445373474,7.34729213536623
"S82",0.162,86.1,10.9,42,52.9,1.24,0.145,5.92,10.5,157,1.3,44,2.37505912907006,5.88443630878373
"S83",0.266,79,0,17.7,17.7,1.58,0.179,6.88,20.2,131,1.6,70,3.47497863977604,18.7537547006272
"S84",0.184,84.5,0,26,26,1.64,0.185,6.95,22.4,132,1.5,78,3.49737615067076,19.1504265165031
"S85",0.281,78.1,0.6,26,26.5,1.77,0.201,6.76,17.8,142,1.5,82,3.60298249011034,23.3933783404136
"S86",0.175,85.1,0.4,25.2,25.6,1.83,0.205,6.88,16.1,149,1.4,63,3.24673642285331,16.878185709056
"S87",0.212,82.5,3.7,9.1,12.8,1.21,0.14,5.82,7.5,142,0.7,34,2.26464906531648,6.62243861150957
"S88",0.155,86.6,21,46.1,67.2,1.2,0.145,5.58,14.5,142,0.8,27,2.1898096512952,6.10464910651525
"S89",0.248,80.1,3,14.4,17.5,1.42,0.161,6.01,10.8,124,1,39,2.27725672049486,5.45295076013899
"S90",0.156,86.5,16.2,40.5,56.6,1.37,0.164,5.87,10.8,118,1.3,38,2.13451915497519,5.13317320283781
"S91",0.239,80.7,1.3,12.4,13.8,1.44,0.163,6.28,8.1,109,1,67,3.10314578323237,12.0414179817389
"S92",0.159,86.3,12.7,38.7,51.4,1.34,0.158,6.19,10.7,110,1,58,2.85610926352108,9.68988080964807
"S93",0.29,77.5,0.3,19.3,19.6,1.91,0.216,6.75,8.2,164,1.3,70,3.2411573273571,15.4539259972465
"S94",0.195,83.7,0,25.9,25.9,2.17,0.249,6.69,8.5,173,0.7,62,3.00215777466802,10.5646232715289
"S95",0.254,79.7,0.8,9,9.8,1.72,0.202,5.99,4.9,195,1.2,42,2.32888101126537,5.2811360186533
"S96",0.184,84.4,12.7,58.1,70.8,1.78,0.215,6.13,8.7,193,0.7,45,2.66005948394735,8.03788298945309
"S97",0.283,77.9,0.7,9.9,10.5,1.45,0.163,6.57,12.5,162,1.1,73,3.27521844735039,15.4058567741096
"S98",0.304,76.7,1.8,6.6,8.4,1.41,0.159,6.3,8.3,152,1.1,73,3.06651105640672,11.2276738214821
"S99",0.286,77.7,0.2,14.8,15,1.75,0.194,6.91,14.9,141,1.8,73,3.32826775360445,15.9845521124794
"S100",0.281,78.1,1.3,21.4,22.7,1.75,0.193,6.94,19.3,137,1.3,97,3.53944638818351,21.065927225224
"S101",0.317,75.9,1.7,12,13.7,1.41,0.16,6.21,12.3,117,1.7,45,2.51989191585518,7.45711635500551
"S102",0.276,78.4,1.4,14.8,16.2,1.5,0.168,6.27,12.8,126,1.7,43,2.81282533583625,8.70586453625859
"S103",0.314,76.1,3.4,9,12.4,1.55,0.167,6.39,13.7,117,1.7,55,2.71293666231026,8.41239932452373
"S104",0.267,78.9,1.1,7.6,8.7,1.41,0.161,6.28,9.5,124,1.2,33,2.16689348720534,4.52108601239777
"S105",0.263,79.2,1.9,8.4,10.3,1.25,0.137,6.38,9.2,157,0.8,53,2.42857806695204,6.72152217655632
"S106",0.244,80.4,1.4,9.5,10.9,1.22,0.138,6.13,7.7,153,1.3,53,2.55263667865726,6.90806017667257
"S107",0.299,77,0,13.7,13.7,1.6,0.178,6.84,16.9,133,1.8,83,3.57006660248304,21.7896381208548
"S108",0.314,76.1,0,16.8,16.8,1.66,0.187,6.94,16.9,129,1.8,73,3.55890074608584,22.6575009482346
"S109",0.301,76.9,0.1,14.1,14.2,1.71,0.194,6.86,12,131,1.1,99,3.64525890156053,24.0090204541682
"S110",0.299,77,0.1,17.8,17.9,1.9,0.211,6.94,16.8,145,2.2,70,3.32698029746829,18.0944304697686
"S111",0.256,79.6,2.2,13.5,15.7,1.23,0.141,5.93,12.3,144,0.6,33,2.28678905515139,6.78378541182791
"S112",0.246,80.3,2.3,9.7,12,1.28,0.141,5.79,11.5,146,0.9,25,1.98862777623446,5.11417489605473
"S113",0.286,77.8,3.9,10.2,14,1.51,0.166,6.14,18.3,126,1.7,33,2.30916778550721,6.63945443448367
"S114",0.299,77,3.1,10.6,13.7,1.4,0.16,5.99,12,118,1.5,25,2.16232656799887,5.47226087877791
"S115",0.261,79.3,0.8,9.4,10.1,1.39,0.159,6.2,8.1,111,1.3,80,3.30331054425702,15.2803512662557
"S116",0.247,80.2,1.4,11.6,13,1.32,0.15,6.31,12.6,112,1,65,2.91890002131965,9.65306314585459
"S117",0.352,74,0.1,17,17.1,2.01,0.222,6.78,10.7,169,1.1,73,3.3344701730909,16.6710332333909
"S118",0.315,76,0.1,15.4,15.4,2.18,0.247,6.78,8.5,184,1.2,54,2.96066749261992,10.9950671662455
"S119",0.285,77.8,0.4,8.8,9.2,1.74,0.204,6.12,6.4,203,0.9,57,2.64250397215068,6.58769111415953
"S120",0.275,78.4,0.8,10.2,10.9,1.82,0.209,6.23,6.2,190,0.8,58,2.79296872538973,7.94258953512034
