SampleID,PlotID,Block,Irrigation,Fertilization,x,rep,rep2,var3,Date,Depth,GWC,TS,NH4,NO3,Nmin_tot,C_tot,N_tot,C_gkg,N_gkg,pH,K_test,Mg_test,P_test,K_mgkg,Mg_mgkg,P_mgkg,log10NH4,logNH4,logNO3,mean.N2Oflux,N2Oflux.cbrt
S24,24,12,Rainout,CONMIN,rain.M,4,4,RMBS1,Apr,0-15cm,0.148,87.1,10,40,50,1.7,0.192,17,1.9,6.23,0.9,17.9,4.7,7.5,179,0.7,1.041392685,2.397895273,3.688879454,0.0115,0.225717872
S25,1,1,Control,CONMIN,cont.M,5,1,CMBS2,Jun,0-15cm,0.184,84.4,1.3,10.1,11.4,1.47,0.162,14.7,1.6,6.58,0.99,15.2,5.6,8.2,152,0.9,0.361727836,0.832909123,2.312535424,0.0086,0.204879961
S26,2,1,Rainout,CONMIN,rain.M,5,1,RMBS2,Jun,0-15cm,0.079,92.7,20.9,39.8,60.8,1.45,0.168,14.5,1.7,6.16,1.52,17.1,9.7,12.6,171,1.5,1.340444115,3.086486637,3.683866912,0.205,0.589636854
S27,3,2,Control,BIODYN,cont.D,5,1,CDBS2,Jun,0-15cm,0.213,82.4,0.2,12.2,12.5,1.68,0.184,16.8,1.8,6.9,1.23,13.6,5.6,10.2,136,0.9,0.079181246,0.182321557,2.501435952,0.0092,0.209537911
S28,4,2,Rainout,BIODYN,rain.D,5,1,RDBS2,Jun,0-15cm,0.088,91.9,0.1,9.7,9.7,1.74,0.19,17.4,1.9,6.7,1.57,12.9,8.3,13,129,1.3,0.041392685,0.09531018,2.272125886,0.0054,0.175441064
S29,5,3,Control,CONFYM,cont.K,5,1,CKBS2,Jun,0-15cm,0.172,85.3,2.1,9.1,11.2,1.38,0.154,13.8,1.5,6.15,0.87,10.9,7.9,7.2,109,1.2,0.491361694,1.131402111,2.208274414,0.0784,0.427994992
S30,6,3,Rainout,CONFYM,rain.K,5,1,RKBS2,Jun,0-15cm,0.075,93,16.5,28.4,44.9,1.51,0.173,15.1,1.7,6.31,2.75,11.8,16.7,22.8,118,2.6,1.243038049,2.862200881,3.346389145,0.0394,0.340276592
S31,7,4,Control,CONFYM,cont.K,6,2,CKBS2,Jun,0-15cm,0.218,82.1,1.6,10.9,12.5,1.57,0.17,15.7,1.7,6.19,0.74,10.8,8.7,6.1,108,1.3,0.414973348,0.955511445,2.388762789,0.0556,0.381673139
S32,8,4,Rainout,CONFYM,rain.K,6,2,RKBS2,Jun,0-15cm,0.066,93.8,28.7,62.1,90.8,1.48,0.175,14.8,1.8,6.18,1.8,12.5,8.8,14.9,125,1.4,1.472756449,3.391147046,4.128745989,0.154,0.536010841
S33,9,5,Control,CONMIN,cont.M,6,2,CMBS2,Jun,0-15cm,0.184,84.4,4.8,7.6,12.5,1.18,0.131,11.8,1.3,6.08,0.45,14.9,4,3.7,149,0.6,0.763427994,1.757857918,2.028148247,0.1642,0.547592785
