nr,plot,block,irrigation,fertilization ,type,sampling date,x,var3,AOA_nbc_per_ngDNA,AOA_nbc_per_g_DW_soil,AOA_16S_ratio_percent,AOB_nbc_per_ngDNA,AOB_nbc_per_g_DW_soil,AOB_16S_ratio_percent,AOA_AOB_ratio,AOA_AOB_ratio_percent,ComA_nbc_per_ngDNA,ComA_nbc_per_g_DW_soil,ComA_16S_ratio_percent,ComB_nbc_per_ngDNA,ComB_nbc_per_g_DW_soil,ComB_16S_ratio_percent,ComA_ComB_ratio,ComA_ComB_ratio_percent,Tot_nbc_per_ngDNA,Tot_nbc_per_g_DW_soil
21,21,11,control,D,BS,28/04/2022,cont.D,CDBS1,9.26E+03,3.29E+08,2.69,5.83E+03,2.07E+08,1.69,1.59,158.8766784,2.79E+03,9.92E+07,0.812,3.40E+02,1.21E+07,0.099,8.21,821.2271066,3.44E+05,1.22E+10
22,22,11,rainout,D,BS,28/04/2022,rain.D,RDBS1,1.83E+04,5.92E+08,3.32,8.27E+03,2.68E+08,1.51,2.21,220.8456783,3.48E+03,1.13E+08,0.634,3.89E+02,1.26E+07,0.071,8.95,894.7803609,5.49E+05,1.78E+10
23,23,12,control,M,BS,28/04/2022,cont.M,CMBS1,1.33E+04,3.04E+08,2.79,1.29E+04,2.97E+08,2.72,1.02,102.4772518,3.02E+03,6.92E+07,0.634,2.43E+02,5.58E+06,0.051,12.41,1241.150268,4.76E+05,1.09E+10
24,24,12,rainout,M,BS,28/04/2022,rain.M,RMBS1,9.12E+03,2.78E+08,2.25,1.02E+04,3.10E+08,2.51,0.9,89.78859859,2.42E+03,7.39E+07,0.599,2.93E+02,8.94E+06,0.072,8.26,826.3904063,4.05E+05,1.23E+10
25,1,1,control,M,BS,01/06/2022,cont.M,CMBS2,1.31E+04,1.55E+08,4.47,8.24E+03,9.71E+07,2.81,1.59,159.0996722,1.09E+03,1.29E+07,0.372,2.63E+02,3.10E+06,0.09,4.15,415.3290367,2.93E+05,3.46E+09
26,2,1,rainout,M,BS,01/06/2022,rain.M,RMBS2,1.91E+04,1.91E+08,4.65,8.95E+03,8.96E+07,2.18,2.13,213.4490198,1.59E+03,1.60E+07,0.388,2.21E+02,2.21E+06,0.054,7.21,721.0606602,4.11E+05,4.11E+09
27,3,2,control,D,BS,01/06/2022,cont.D,CDBS2,1.57E+04,2.12E+08,4.53,5.81E+03,7.86E+07,1.68,2.69,269.4245444,1.52E+03,2.06E+07,0.44,2.63E+02,3.56E+06,0.076,5.78,578.3931015,3.46E+05,4.68E+09
28,4,2,rainout,D,BS,01/06/2022,rain.D,RDBS2,2.15E+04,2.40E+08,5.67,6.30E+03,7.05E+07,1.66,3.41,340.6071323,1.93E+03,2.16E+07,0.509,2.31E+02,2.58E+06,0.061,8.36,836.2767341,3.79E+05,4.23E+09
29,5,3,control,K,BS,01/06/2022,cont.K,CKBS2,1.42E+04,1.86E+08,4.28,6.85E+03,9.00E+07,2.07,2.07,206.8828805,2.06E+03,2.70E+07,0.621,2.37E+02,3.11E+06,0.072,8.67,866.9656944,3.31E+05,4.35E+09
30,6,3,rainout,K,BS,01/06/2022,rain.K,RKBS2,1.39E+04,1.56E+08,4.59,6.36E+03,7.13E+07,2.09,2.19,219.3641959,1.43E+03,1.60E+07,0.469,1.58E+02,1.78E+06,0.052,9.01,900.9936849,3.04E+05,3.41E+09
31,7,4,control,K,BS,01/06/2022,cont.K,CKBS2,2.06E+04,2.68E+08,4.88,8.23E+03,1.07E+08,1.95,2.51,250.5832912,1.91E+03,2.48E+07,0.451,3.10E+02,4.03E+06,0.073,6.15,615.183678,4.23E+05,5.50E+09
32,8,4,rainout,K,BS,01/06/2022,rain.K,RKBS2,1.71E+04,1.95E+08,4.4,6.98E+03,7.97E+07,1.8,2.45,245.0853392,2.69E+03,3.07E+07,0.692,2.95E+02,3.38E+06,0.076,9.1,910.2502542,3.88E+05,4.44E+09
33,9,5,control,M,BS,01/06/2022,cont.M,CMBS2,1.58E+04,2.03E+08,4.85,6.86E+03,8.84E+07,2.11,2.3,229.8154327,2.13E+03,2.75E+07,0.656,2.51E+02,3.24E+06,0.077,8.48,848.214006,3.25E+05,4.19E+09
34,10,5,rainout,M,BS,01/06/2022,rain.M,RMBS2,1.07E+04,1.36E+08,2.96,7.40E+03,9.43E+07,2.05,1.44,144.4381607,2.19E+03,2.79E+07,0.605,2.26E+02,2.88E+06,0.062,9.69,969.1525497,3.62E+05,4.61E+09
35,11,6,control,D,BS,01/06/2022,cont.D,CDBS2,1.67E+04,2.43E+08,5.89,6.04E+03,8.75E+07,2.13,2.77,277.1161822,2.41E+03,3.49E+07,0.846,2.71E+02,3.93E+06,0.095,8.87,886.6918273,2.84E+05,4.12E+09
36,12,6,rainout,D,BS,01/06/2022,rain.D,RDBS2,1.91E+04,2.55E+08,4.65,6.49E+03,8.66E+07,1.58,2.95,294.836227,2.46E+03,3.28E+07,0.598,2.37E+02,3.16E+06,0.058,10.39,1039.309638,4.11E+05,5.48E+09
37,13,7,control,D,BS,01/06/2022,cont.D,CDBS2,2.55E+04,4.38E+08,5.53,7.44E+03,1.28E+08,1.61,3.43,342.6797708,2.09E+03,3.59E+07,0.453,4.09E+02,7.03E+06,0.089,5.11,511.0744745,4.61E+05,7.92E+09
38,14,7,rainout,D,BS,01/06/2022,rain.D,RDBS2,1.42E+04,2.40E+08,4.36,5.86E+03,9.95E+07,1.81,2.41,241.4501616,1.70E+03,2.88E+07,0.523,3.19E+02,5.41E+06,0.098,5.32,531.676352,3.25E+05,5.50E+09
