"","S25","S26","S33","S34","S39","S40","S47","S48"
"ASV_1",212,195,55,321,42,24,86,193
"ASV_47",12,15,10,13,4,13,38,3
"ASV_69",7,9,1,0,4,0,11,0
"ASV_58",0,10,1,1,4,1,10,5
"ASV_17",3,4,62,33,40,46,9,0
"ASV_8",31,36,34,13,25,25,83,24
"ASV_12",31,10,23,14,83,22,60,12
"ASV_57",3,9,4,2,19,7,29,1
"ASV_3",49,50,47,36,88,57,173,78
"ASV_33",4,3,6,10,11,16,16,25
"ASV_20",10,18,40,20,28,27,62,8
"ASV_35",1,4,17,15,14,55,11,1
"ASV_7",24,33,73,49,28,232,15,6
"ASV_13",13,19,21,36,89,124,24,0
"ASV_32",6,5,8,3,35,32,17,9
"ASV_43",9,11,5,3,9,5,26,10
"ASV_2",85,110,69,145,94,82,83,137
"ASV_40",3,15,12,10,7,5,9,8
