"","S49","S50","S57","S58","S63","S64","S71","S72"
"ASV_1",209,162,279,180,78,174,88,148
"ASV_47",8,0,1,7,5,0,10,11
"ASV_27",2,3,16,14,21,0,32,0
"ASV_17",4,0,21,59,35,23,9,5
"ASV_8",20,29,15,41,38,13,52,127
"ASV_12",10,7,12,28,22,14,25,11
"ASV_57",16,1,2,7,7,2,16,1
"ASV_3",54,34,35,32,82,49,128,49
"ASV_33",9,0,4,11,28,9,38,1
"ASV_20",16,0,14,18,20,11,15,5
"ASV_35",5,6,3,8,7,4,31,5
"ASV_7",19,23,23,38,66,11,9,2
"ASV_13",29,30,8,12,41,8,18,11
"ASV_32",7,0,4,5,15,4,6,4
"ASV_43",0,9,0,6,9,4,34,7
"ASV_71",2,9,4,4,0,7,3,9
"ASV_28",14,6,53,23,9,12,20,11
"ASV_37",0,8,24,4,0,20,61,37
"ASV_2",80,94,268,183,91,142,86,67
"ASV_40",8,13,15,18,12,16,6,0
"ASV_244",0,2,0,1,2,3,3,2
"ASV_6",25,58,10,14,0,27,28,14
