OTU_93 	 Nitrosolobus-multiformis-Nl1_2667636517
OTU_94 	 Nitrosovibrio-tenuis-Nv1_2671436084
OTU_95 	 Nitrosomonas-sp-Nm84_2737537902
OTU_96 	 Nitrosolobus-multiformis-Nl1_2667636517
OTU_97 	 Nitrosovibrio-tenuis-Nv1_2671436084
OTU_98 	 Nitrosospira-sp_2636913388
OTU_99 	 Nitrosospira-sp-17Nsp14_2671457573
OTU_100 	 Nitrosolobus-multiformis-Nl1_2667636517
OTU_101 	 Nitrosospira-sp_2636913388
OTU_102 	 Nitrosospira-sp-17Nsp14_2671457573
OTU_103 	 Nitrosospira-sp-17Nsp14_2671457573
OTU_104 	 Nitrosovibrio-tenuis-Nv1_2671436084
OTU_105 	 Nitrosomonas-oligotropha-Nm75_2671668620
OTU_106 	 Nitrosolobus-multiformis-Nl1_2667636517
OTU_107 	 Nitrosospira-sp-17Nsp14_2671457573
OTU_108 	 Nitrosomonas-sp-Nm84_2737537902
OTU_109 	 Nitrosospira-sp-Nsp22_2737533475
OTU_110 	 Nitrosospira-sp-17Nsp14_2671457573
OTU_111 	 Nitrosospira-sp_2630434854
OTU_112 	 Nitrosomonas-ureae-Nm42_2735374004
OTU_113 	 Nitrosolobus-multiformis-Nl1_2667636517
OTU_114 	 Nitrosomonas-sp-Is79A3_651001907
OTU_115 	 Nitrosospira-sp_2630434854
OTU_116 	 Nitrosospira-sp-17Nsp14_2671457573
OTU_117 	 Nitrosospira-sp-17Nsp14_2671457573
OTU_118 	 Nitrosolobus-multiformis-Nl1_2667636517
OTU_119 	 Nitrosolobus-multiformis-Nl1_2667636517
OTU_120 	 Nitrosomonas-sp-Nm84_2737537902
OTU_121 	 Nitrosomonas-communis-Nm44_2676397764
OTU_122 	 Nitrosomonas-ureae-Nm15_2727950357
OTU_123 	 Nitrosomonas-sp-Nm84_2737537902
OTU_124 	 Nitrosospira-sp-17Nsp14_2671457573
OTU_125 	 Nitrosomonas-sp-Nm84_2737537902
OTU_126 	 Nitrosolobus-multiformis-Nl1_2667636517
