"","contrast","fertilization","sampling.date","estimate","SE","df","t.ratio","p.value"
"1","control - rainout","D","X04.28.22",-1272.5,1379.89155169689,18,-0.922173918983106,0.368634069501722
"2","control - rainout","K","X04.28.22",-1252.5,1379.89155169689,18,-0.90768002634683,0.376039551783195
"3","control - rainout","M","X04.28.22",-2087.49999999999,1379.89155169689,18,-1.51280004391138,0.14769014011821
"4","control - rainout","D","X06.01.22",-525,1205.92201931413,18,-0.435351533176743,0.66848268843426
"5","control - rainout","K","X06.01.22",-365,1205.92201931413,18,-0.302672970684783,0.765608982305216
"6","control - rainout","M","X06.01.22",1187.5,1205.92201931413,18,0.984723705995015,0.337812045739481
"7","control - rainout","D","X07.05.22",872.5,1118.39573844761,18,0.780135304530999,0.445449347521701
"8","control - rainout","K","X07.05.22",-1935,1118.39573844761,18,-1.73015680718336,0.100710719077374
"9","control - rainout","M","X07.05.22",160.000000000005,1118.39573844761,18,0.143062061575889,0.887830493047912
