"","S99","S100","S107","S108","S109","S110","S117","S118"
"ASV_13",358,458,191,0,304,456,567,342
"ASV_160",19,0,21,0,13,27,10,0
"ASV_44",47,58,93,17,10,32,29,0
"ASV_23",11,38,33,0,46,9,39,50
"ASV_33",3,24,23,0,17,6,35,18
"ASV_1",105,202,448,216,153,241,257,210
"ASV_53",23,29,17,0,6,16,9,16
"ASV_2",885,582,691,121,556,753,771,1026
"ASV_24",81,44,85,0,80,96,186,60
"ASV_5",489,436,273,111,350,263,473,515
"ASV_28",79,0,30,0,85,19,111,300
"ASV_40",40,33,26,0,52,38,45,59
"ASV_25",25,10,33,43,13,14,25,6
"ASV_3",90,70,106,38,68,120,34,87
"ASV_19",130,118,144,184,113,121,80,57
"ASV_11",172,175,242,195,198,216,113,229
"ASV_42",33,22,21,0,64,30,31,0
"ASV_8",142,231,174,124,290,353,370,129
"ASV_9",421,402,329,599,364,343,91,137
"ASV_27",169,202,69,152,139,147,31,15
"ASV_21",104,181,123,220,208,186,59,77
"ASV_90",10,29,19,29,35,25,0,5
"ASV_32",9,19,11,11,23,20,105,27
"ASV_68",23,4,0,7,6,14,3,15
"ASV_22",50,40,69,133,54,40,51,109
"ASV_18",158,151,195,225,83,61,62,74
"ASV_15",140,187,49,26,45,172,222,86
"ASV_43",9,15,59,12,15,106,71,29
"ASV_58",8,69,124,67,10,0,4,0
"ASV_62",0,81,0,152,22,38,58,16
"ASV_119",12,5,12,3,7,3,1,0
"ASV_38",0,26,91,43,25,32,33,37
"ASV_130",2,1,18,5,3,2,2,0
"ASV_20",94,194,203,123,227,125,96,0
"ASV_50",32,23,26,36,43,16,7,21
"ASV_16",368,101,94,540,266,136,39,154
"ASV_164",1,2,3,1,5,3,3,1
"ASV_36",62,37,12,112,135,107,15,38
"ASV_12",135,112,154,219,231,314,284,864
