"","S3","S4","S11","S12","S13","S14","S21","S22"
"ASV_13",408,488,105,21,193,337,432,276
"ASV_44",79,76,34,19,6,90,47,0
"ASV_23",102,64,27,0,23,3,75,17
"ASV_33",38,14,10,0,14,4,39,8
"ASV_1",103,239,332,101,217,231,283,233
"ASV_53",16,9,24,29,23,16,10,14
"ASV_2",696,737,420,217,454,662,845,814
"ASV_24",32,37,48,53,118,72,137,81
"ASV_5",452,294,173,149,239,357,534,558
"ASV_28",14,0,12,33,35,0,291,246
"ASV_3",90,68,82,109,74,122,66,56
"ASV_19",99,138,148,67,80,86,101,34
"ASV_11",156,150,212,244,115,123,262,242
"ASV_8",122,327,131,20,521,486,432,220
"ASV_9",617,386,284,684,159,257,87,114
"ASV_27",153,120,58,382,84,143,13,31
"ASV_21",152,108,91,299,125,183,40,63
"ASV_32",16,16,20,3,31,21,72,52
"ASV_68",15,40,10,7,20,11,0,23
"ASV_22",15,27,44,79,45,44,63,107
"ASV_18",79,157,130,98,121,60,67,81
"ASV_15",105,245,54,49,39,141,163,39
"ASV_43",17,26,51,0,23,114,19,63
"ASV_45",28,29,16,13,24,52,36,66
"ASV_26",93,177,55,53,128,142,14,0
"ASV_67",26,9,7,12,55,14,7,0
"ASV_58",12,49,66,32,33,0,11,0
"ASV_39",14,36,130,117,107,16,19,0
"ASV_130",5,6,13,9,7,7,2,0
"ASV_20",188,234,214,409,265,76,41,17
"ASV_50",0,9,44,178,42,41,9,14
"ASV_143",5,3,7,4,10,5,7,0
"ASV_55",15,20,28,17,26,69,72,18
"ASV_153",3,8,0,23,0,8,0,2
"ASV_16",268,115,85,370,225,145,12,67
"ASV_164",2,4,7,0,6,8,6,7
"ASV_36",65,79,36,62,178,104,1,17
"ASV_105",20,21,3,0,23,10,2,0
"ASV_12",232,104,61,201,220,261,252,1033
