"","S25","S33","S34","S39","S40","S47","S48"
"ASV_4",56,835,1203,293,715,51,13
"ASV_7",20,516,405,737,1592,89,0
"ASV_33",73,36,29,28,55,56,23
"ASV_1",319,1266,1369,1580,502,2231,1058
"ASV_10",10,221,211,398,164,274,192
"ASV_2",653,127,97,123,44,225,469
"ASV_3",371,693,648,688,271,771,141
"ASV_8",51,40,106,39,0,20,246
"ASV_6",270,22,67,2,33,317,170
