"","S5","S6","S7","S8","S17","S18","S19","S20"
"ASV_4",313,65,391,336,955,866,188,457
"ASV_17",73,0,57,74,361,126,23,52
"ASV_74",0,16,0,16,14,39,0,11
"ASV_30",13,76,24,68,71,52,19,20
"ASV_7",174,43,59,69,583,277,24,47
"ASV_47",9,19,0,40,30,8,0,9
"ASV_33",18,40,33,32,26,40,57,29
"ASV_1",1852,1761,1860,2193,1671,2053,1107,1033
"ASV_10",253,79,88,247,283,389,144,81
"ASV_2",647,688,792,460,238,174,843,458
"ASV_25",91,44,126,185,53,24,27,44
"ASV_3",849,662,648,763,571,617,320,270
"ASV_8",39,33,242,88,12,1,236,784
"ASV_59",19,25,0,18,11,38,9,22
"ASV_93",12,15,17,10,17,8,0,4
"ASV_6",66,189,76,59,59,119,517,239
"ASV_32",8,11,7,6,5,0,30,24
"ASV_57",25,23,24,44,15,13,2,40
"ASV_18",124,173,225,66,4,0,85,127
"ASV_15",235,79,124,169,55,40,277,69
