"","S27","S28","S35","S36","S37","S38","S45","S46"
"ASV_13",296,307,35,1,86,363,333,437
"ASV_44",62,95,90,0,152,73,56,0
"ASV_23",136,35,49,24,75,37,53,60
"ASV_33",6,5,6,0,25,36,26,27
"ASV_1",100,176,387,37,288,248,380,266
"ASV_53",10,37,0,27,15,7,36,11
"ASV_2",762,797,793,304,528,746,805,926
"ASV_24",42,112,131,0,81,101,111,74
"ASV_5",361,568,265,75,346,426,462,679
"ASV_28",28,0,51,0,24,37,172,185
"ASV_40",0,32,26,32,74,50,86,171
"ASV_3",59,60,106,48,139,76,50,58
"ASV_19",114,158,174,139,233,84,99,85
"ASV_11",122,199,233,62,289,138,140,212
"ASV_8",179,295,180,37,151,434,608,113
"ASV_9",571,309,318,960,513,276,95,126
"ASV_27",216,109,63,299,147,148,9,19
"ASV_21",217,104,275,393,183,146,45,43
"ASV_6",16,40,8,0,4,18,72,49
"ASV_32",10,26,34,14,117,49,110,77
"ASV_22",16,15,97,119,85,34,59,46
"ASV_18",51,78,141,126,140,68,61,72
"ASV_15",117,211,110,46,75,147,192,117
"ASV_43",16,56,99,18,59,80,39,44
"ASV_45",9,34,73,24,70,21,66,22
"ASV_26",121,165,148,371,84,137,7,0
"ASV_58",20,26,61,0,12,12,18,0
"ASV_39",11,20,97,32,116,17,17,22
"ASV_119",10,0,7,1,10,1,8,5
"ASV_46",6,48,29,19,43,54,45,0
"ASV_130",1,7,10,0,4,7,7,0
"ASV_20",62,174,131,23,142,117,67,50
"ASV_50",29,76,39,41,11,0,11,9
"ASV_143",1,9,7,0,4,4,4,5
"ASV_37",128,22,99,138,55,12,4,0
"ASV_16",414,182,115,613,108,116,17,84
"ASV_164",3,0,9,2,1,16,1,0
"ASV_36",69,28,49,35,47,82,35,19
"ASV_12",169,96,227,328,93,342,297,631
