"","S53","S54","S55","S56","S65","S66","S67","S68"
"ASV_48",0,28,8,9,0,3,6,25
"ASV_4",373,507,300,617,558,664,392,344
"ASV_17",97,0,53,105,201,42,28,70
"ASV_30",77,0,52,348,151,153,124,32
"ASV_7",300,155,41,190,297,351,67,26
"ASV_71",32,18,84,26,12,31,18,0
"ASV_23",25,93,0,24,29,29,74,42
"ASV_33",43,66,16,71,43,21,52,39
"ASV_1",1709,1899,1750,1262,1825,2140,1168,952
"ASV_10",219,184,251,304,376,338,84,59
"ASV_53",15,0,103,31,18,0,24,41
"ASV_2",485,375,582,381,297,274,662,455
"ASV_25",117,66,9,73,89,116,69,65
"ASV_3",888,391,557,637,648,677,227,352
"ASV_8",35,55,287,89,27,0,248,702
"ASV_59",26,0,73,66,41,57,29,27
"ASV_93",2,12,11,14,17,13,0,5
"ASV_31",53,48,44,71,32,0,103,106
"ASV_6",182,162,149,318,112,36,477,412
"ASV_32",31,59,0,7,11,3,52,35
"ASV_57",44,42,7,47,32,18,8,35
"ASV_18",63,176,31,8,8,29,157,119
"ASV_15",44,75,64,85,30,69,147,78
