"","S29","S30","S31","S32","S41","S42","S43","S44"
"ASV_4",664,396,431,432,538,895,401,579
"ASV_17",105,0,65,115,75,59,20,102
"ASV_30",66,35,97,69,105,61,31,81
"ASV_7",225,68,86,224,414,319,83,28
"ASV_33",84,104,45,51,52,23,62,41
"ASV_1",1699,1867,1283,1796,1825,2238,1445,982
"ASV_10",225,242,103,163,259,407,142,89
"ASV_53",20,29,45,33,13,0,30,33
"ASV_2",436,381,845,539,327,112,524,478
"ASV_25",148,56,65,131,87,34,56,56
"ASV_3",785,345,685,650,749,560,207,275
"ASV_11",98,210,121,56,26,0,134,97
"ASV_8",48,2,264,63,46,23,269,589
"ASV_59",27,27,27,26,34,0,15,30
"ASV_6",43,160,82,148,160,21,261,456
"ASV_32",33,37,35,17,23,9,48,73
"ASV_57",27,10,20,25,24,15,17,35
"ASV_18",26,193,30,76,0,23,133,120
"ASV_15",54,51,175,137,118,0,107,87
"ASV_38",17,0,23,23,17,13,95,59
