"","S73","S74","S81","S82","S87","S88","S95","S96"
"ASV_4",66,131,720,1200,462,642,31,0
"ASV_17",4,0,434,134,198,337,10,0
"ASV_54",15,82,0,15,0,23,96,19
"ASV_23",269,121,0,20,0,25,162,151
"ASV_33",63,58,49,31,31,46,26,31
"ASV_1",275,650,1097,1618,1272,1366,1979,985
"ASV_10",23,84,158,201,251,249,256,0
"ASV_2",520,334,143,205,103,51,312,493
"ASV_25",35,0,29,0,36,0,45,29
"ASV_3",224,554,586,634,438,195,800,169
"ASV_6",404,1594,17,110,18,35,619,1355
"ASV_18",192,95,4,31,17,0,62,49
