"","S173","S174","S175","S176","S185","S186","S187","S188"
"ASV_44",7,6,6,5,4,6,0,5
"ASV_1",218,202,349,230,252,341,173,286
"ASV_27",18,8,0,9,17,25,7,3
"ASV_17",10,12,12,27,12,31,14,14
"ASV_8",8,14,0,32,42,19,32,14
"ASV_12",11,26,0,30,32,24,12,16
"ASV_57",6,2,0,6,1,3,1,5
"ASV_85",0,2,0,3,4,4,0,2
"ASV_3",9,26,0,60,72,19,38,33
"ASV_20",7,23,8,15,21,25,40,28
"ASV_35",5,23,2,9,10,4,4,3
"ASV_7",8,16,5,42,59,73,17,8
"ASV_13",22,10,2,8,34,13,46,8
"ASV_32",6,11,9,13,17,31,17,2
"ASV_43",5,22,5,3,11,6,15,0
"ASV_26",0,5,8,50,11,40,5,6
"ASV_28",10,23,21,17,24,20,6,9
"ASV_2",117,98,134,75,221,207,49,69
"ASV_4",28,31,25,11,0,5,32,80
"ASV_16",26,18,37,4,0,4,4,25
"ASV_18",26,9,6,8,8,0,4,1
"ASV_40",6,11,28,6,13,22,8,2
"ASV_266",0,1,0,1,3,1,0,1
"ASV_21",45,0,22,14,16,4,54,15
"ASV_23",37,0,39,6,17,14,38,31
"ASV_64",15,0,9,4,6,2,8,6
"ASV_10",35,0,31,28,43,19,27,22
"ASV_52",10,0,22,8,16,0,3,2
"ASV_164",2,0,4,0,2,0,3,6
