"","S25","S26","S33","S34","S39","S40","S47","S48"
"ASV_1",212,195,55,321,42,24,86,193
"ASV_47",12,15,10,13,4,13,38,3
"ASV_81",0,12,0,8,17,12,0,0
"ASV_62",0,2,20,12,14,16,1,0
"ASV_27",0,2,33,15,27,28,19,0
"ASV_144",6,0,4,6,7,0,0,1
"ASV_103",0,5,3,1,7,6,13,0
"ASV_69",7,9,1,0,4,0,11,0
"ASV_90",0,1,6,0,2,0,12,0
"ASV_58",0,10,1,1,4,1,10,5
"ASV_17",3,4,62,33,40,46,9,0
"ASV_8",31,36,34,13,25,25,83,24
"ASV_12",31,10,23,14,83,22,60,12
"ASV_57",3,9,4,2,19,7,29,1
"ASV_85",3,4,5,4,3,3,0,0
"ASV_3",49,50,47,36,88,57,173,78
"ASV_33",4,3,6,10,11,16,16,25
"ASV_53",11,0,0,8,8,0,11,22
"ASV_56",20,4,0,12,15,0,26,5
"ASV_153",0,0,1,0,1,0,13,0
"ASV_133",0,0,4,0,2,0,1,0
"ASV_20",10,18,40,20,28,27,62,8
"ASV_35",1,4,17,15,14,55,11,1
"ASV_60",4,0,14,0,0,26,13,0
"ASV_7",24,33,73,49,28,232,15,6
"ASV_13",13,19,21,36,89,124,24,0
"ASV_32",6,5,8,3,35,32,17,9
"ASV_151",0,0,9,2,2,3,1,0
"ASV_43",9,11,5,3,9,5,26,10
"ASV_61",0,0,6,6,13,0,5,10
"ASV_78",0,4,18,0,5,25,5,0
"ASV_82",0,2,15,7,14,12,1,0
"ASV_134",3,3,2,8,3,3,0,0
"ASV_55",0,0,27,14,37,75,7,0
"ASV_26",0,9,36,13,26,43,22,0
"ASV_114",0,0,3,0,17,0,1,0
"ASV_66",0,4,33,6,16,11,0,0
"ASV_71",9,1,5,2,0,0,7,0
"ASV_28",0,11,14,13,5,0,13,17
"ASV_2",85,110,69,145,94,82,83,137
"ASV_63",0,2,0,1,0,0,0,1
"ASV_30",7,5,0,6,0,0,0,18
"ASV_5",21,8,10,16,0,0,0,7
"ASV_4",58,58,0,10,0,0,7,13
"ASV_9",26,19,0,0,1,0,19,53
"ASV_29",20,0,0,0,6,0,10,5
"ASV_16",20,10,0,3,0,0,7,49
"ASV_18",29,24,0,8,0,0,14,40
"ASV_11",24,14,16,5,0,0,0,29
"ASV_14",0,21,0,5,0,0,7,41
"ASV_40",3,15,12,10,7,5,9,8
"ASV_275",1,0,2,0,0,0,3,1
"ASV_306",1,1,1,0,0,5,1,0
"ASV_168",0,2,0,13,0,0,0,5
"ASV_6",93,38,0,19,0,0,0,45
