,Taxonomy
ASV 1,Clade B Nitrospira-sp.LPPL-bin249
ASV 18,Clade B Nitrospira-sp.GGF-bin22
ASV 119,Clade B Nitrospira-sp.LM-bin98
ASV 24,Clade B Nitrospira-sp.LPPL-bin249
ASV 3,Clade B Nitrospira-sp.LPPL-bin249
ASV 93,Clade B Nitrospira-sp.GGF-bin22
