,Taxonomy
ASV_48,Clade A-Nitrospira-sp.CTRL-LIN-TMP1
ASV_153,Clade B-Nitrospira-sp.GGF-bin22
ASV_93,Clade B-Nitrospira-sp.GGF-bin22
ASV_105,Clade B-Nitrospira-sp.GGF-bin22
ASV_12,Clade B-Nitrospira-sp.GGF-bin22
ASV_18,Clade B-Nitrospira-sp.GGF-bin22
ASV_143,Clade B-Nitrospira-sp.LM-bin98
ASV_119,Clade B-Nitrospira-sp.LM-bin98
ASV_128,Clade B-Nitrospira-sp.LM-bin98
ASV_3,Clade B-Nitrospira-sp.LPPL-bin249
ASV_25,Clade B-Nitrospira-sp.LPPL-bin249
ASV_11,Clade B-Nitrospira-sp.LPPL-bin249
ASV_1,Clade B-Nitrospira-sp.LPPL-bin249
ASV_32,Clade B-Nitrospira-sp.LPPL-bin249
ASV_24,Clade B-Nitrospira-sp.LPPL-bin249
ASV_10,Clade B-Nitrospira-sp.LPPL-bin249
ASV_57,Clade B-Nitrospira-sp.LPPL-bin249
ASV_8,Clade B-Nitrospira-sp.LPPL-bin249
ASV_23,Clade B-Nitrospira-sp.Smid-bin44
ASV_33,Clade B-Nitrospira-sp.Smid-bin44
ASV_74,Clade B-Nitrospira-sp.Smid-bin44
ASV_59,Clade B-Nitrospira-sp.Smid-bin44
ASV_4,Clade B-Nitrospira-sp.Smid-bin44
ASV_47,Clade B-Nitrospira-sp.Smid-bin44
ASV_171,Clade B-Nitrospira-sp.Smid-bin44
ASV_54,Clade B-Nitrospira-sp.Smid-bin44
ASV_17,Clade B-Nitrospira-sp.Smid-bin44
