,Taxonomy
ASV 106,Nitrososphaerales (NS-Delta-1.Incertae_sedis)
ASV 111,Nitrososphaerales (NS-Delta-1.Incertae_sedis)
ASV 18,Nitrososphaerales (NS-Gamma-1.2)
ASV 38,Ca.Nitrosotaleales (NT-Alpha-1.1.2.2)
ASV 49,Nitrososphaerales (NS-Gamma-2.3.1)
