"","S77","S78","S79","S80","S89","S90","S91","S92"
"ASV_44",12,105,55,0,28,0,15,0
"ASV_1",1158,1908,1754,2625,1148,765,764,2195
"ASV_47",81,34,2,6,0,13,8,0
"ASV_62",60,116,2,83,24,13,8,0
"ASV_27",231,70,58,289,79,76,55,0
"ASV_103",0,0,18,0,10,17,3,1
"ASV_17",94,42,72,577,93,125,14,137
"ASV_8",130,387,73,250,190,51,74,83
"ASV_12",302,111,34,586,95,120,183,97
"ASV_57",27,10,69,56,5,5,13,47
"ASV_3",275,302,53,648,214,8,491,187
"ASV_33",46,65,2,79,28,6,8,154
"ASV_20",90,172,90,90,0,37,74,0
"ASV_35",39,38,3,45,90,32,22,3
"ASV_7",282,108,112,154,131,151,73,49
"ASV_13",144,196,215,586,68,98,31,33
"ASV_76",64,39,0,32,45,56,0,0
"ASV_92",77,19,0,48,46,87,0,0
"ASV_32",168,86,42,461,54,187,9,97
"ASV_78",7,0,7,32,75,0,0,0
"ASV_82",53,0,45,6,1,0,0,0
"ASV_26",116,51,49,91,26,43,31,90
"ASV_66",37,6,1,33,25,39,18,27
"ASV_71",39,46,3,86,0,38,22,72
"ASV_28",115,250,102,176,103,63,0,0
"ASV_36",139,152,80,0,0,153,0,170
"ASV_2",410,781,869,1902,583,585,203,575
"ASV_63",266,15,9,4,0,238,16,12
"ASV_30",9,2,81,57,0,0,17,38
"ASV_5",37,202,117,51,0,0,47,60
"ASV_4",56,152,335,145,22,0,125,708
"ASV_9",0,142,246,163,0,13,34,130
"ASV_16",47,183,208,211,0,0,60,56
"ASV_18",19,131,105,29,0,0,29,79
"ASV_11",27,64,98,0,0,0,72,177
"ASV_14",79,119,187,147,0,0,0,104
"ASV_141",164,0,2,6,0,13,2,0
"ASV_38",0,32,0,85,0,0,22,64
"ASV_15",33,32,0,64,0,12,0,0
"ASV_196",15,21,27,12,0,0,0,10
"ASV_365",0,0,1,0,15,0,6,0
"ASV_40",77,55,70,155,59,60,50,38
"ASV_550",3,1,9,1,0,0,0,5
"ASV_400",3,5,17,8,0,1,0,5
"ASV_275",16,2,0,0,5,1,0,4
"ASV_244",1,3,0,2,0,0,0,4
"ASV_309",2,4,1,9,0,0,0,3
"ASV_459",5,3,8,5,0,1,0,2
"ASV_556",5,3,1,2,0,1,0,0
"ASV_417",3,0,28,0,62,0,0,0
"ASV_87",45,101,0,77,0,0,50,52
"ASV_21",170,141,0,180,0,0,306,106
"ASV_23",213,155,0,71,0,0,374,129
"ASV_64",123,28,0,17,0,0,91,19
"ASV_680",2,0,1,0,49,0,0,0
"ASV_490",3,0,2,0,67,0,0,0
"ASV_77",5,41,0,41,0,0,90,115
"ASV_104",16,28,0,53,0,0,56,32
"ASV_10",219,158,0,212,0,0,227,64
"ASV_88",10,75,0,50,0,0,107,92
"ASV_443",3,0,6,0,102,0,0,0
"ASV_96",68,0,71,0,72,0,0,0
"ASV_232",71,0,56,0,47,0,0,0
