"","S49","S50","S57","S58","S63","S64","S71","S72"
"ASV_44",68,6,67,25,11,23,0,0
"ASV_1",1695,1228,2625,1691,383,1213,684,1488
"ASV_47",34,0,16,71,12,4,103,134
"ASV_62",14,0,3,126,15,0,36,0
"ASV_27",37,35,105,158,101,0,318,0
"ASV_103",1,1,0,37,0,0,141,438
"ASV_90",45,0,22,0,0,0,41,22
"ASV_58",42,45,0,35,0,0,154,36
"ASV_17",54,0,235,446,160,158,61,41
"ASV_8",154,225,130,415,188,61,484,1120
"ASV_110",46,126,0,2,0,22,66,71
"ASV_12",93,82,108,264,106,86,200,107
"ASV_57",89,3,24,55,17,16,137,5
"ASV_207",10,11,0,2,0,14,23,5
"ASV_85",19,0,19,36,61,8,0,0
"ASV_3",476,272,287,383,407,313,946,577
"ASV_33",67,0,22,98,150,66,278,30
"ASV_53",29,0,0,49,52,0,184,0
"ASV_20",109,0,114,121,79,97,108,69
"ASV_35",55,33,26,92,57,33,232,21
"ASV_60",56,0,88,70,0,57,0,59
"ASV_7",166,132,167,323,343,120,65,20
"ASV_13",230,142,70,135,173,66,120,52
"ASV_76",14,0,60,0,0,0,99,48
"ASV_32",38,0,35,70,70,15,54,33
"ASV_43",0,113,0,53,44,32,287,57
"ASV_78",24,0,26,0,28,55,0,0
"ASV_82",2,0,25,0,44,82,0,0
"ASV_134",5,0,22,58,8,4,0,0
"ASV_253",0,0,28,0,1,3,37,0
"ASV_26",1,0,119,66,166,77,48,64
"ASV_66",26,26,37,20,30,0,57,0
"ASV_71",11,72,19,22,0,41,25,67
"ASV_28",70,53,497,175,53,117,191,122
"ASV_37",0,89,264,74,0,107,386,335
"ASV_31",44,0,737,180,0,370,101,0
"ASV_2",736,728,2743,1756,492,970,722,729
"ASV_178",1,0,8,7,0,57,6,0
"ASV_63",6,6,0,2,4,0,515,15
"ASV_30",43,9,19,1,0,0,53,90
"ASV_5",462,69,39,96,0,0,0,223
"ASV_4",255,282,183,74,0,0,49,507
"ASV_9",162,131,98,68,0,0,222,284
"ASV_29",154,138,0,44,0,0,60,223
"ASV_16",193,147,91,0,0,0,93,243
"ASV_18",99,151,18,4,0,31,108,294
"ASV_11",303,159,129,65,0,0,0,187
"ASV_39",144,35,42,95,0,0,0,102
"ASV_49",60,0,24,0,0,0,12,120
"ASV_15",0,22,0,164,995,1090,24,0
"ASV_175",0,9,0,68,29,43,0,0
"ASV_40",52,69,162,124,77,77,68,0
"ASV_550",7,0,1,0,0,3,1,1
"ASV_400",7,0,5,2,2,1,1,3
"ASV_348",0,5,13,0,9,4,11,9
"ASV_275",10,0,12,10,15,6,12,12
"ASV_306",5,0,1,22,7,2,1,0
"ASV_244",8,7,10,9,13,16,16,16
"ASV_309",3,2,1,10,6,4,8,18
"ASV_266",1,2,3,7,4,3,1,2
"ASV_459",4,0,0,0,1,0,5,0
"ASV_556",2,0,0,0,2,3,3,2
"ASV_123",0,36,0,12,0,0,3,5
"ASV_87",14,24,5,6,0,3,0,0
"ASV_303",2,3,3,3,0,3,0,0
"ASV_64",18,61,17,16,0,18,0,0
"ASV_183",0,4,0,1,0,0,0,13
"ASV_77",148,10,27,6,0,107,0,0
"ASV_104",16,8,0,1,0,64,0,0
"ASV_10",94,275,295,169,0,335,0,0
"ASV_52",0,268,114,56,0,185,0,0
"ASV_185",0,4,0,3,0,77,0,0
"ASV_241",5,8,0,3,0,3,0,0
"ASV_256",1,3,0,1,0,6,0,9
"ASV_168",4,9,2,4,0,4,1,0
"ASV_89",30,39,67,90,0,36,12,0
"ASV_6",195,513,149,197,0,162,246,222
"ASV_84",0,4,0,17,0,0,99,61
"ASV_206",0,5,0,13,0,16,0,0
"ASV_46",0,232,0,127,0,0,26,37
"ASV_67",0,69,0,35,0,0,0,83
"ASV_158",29,5,0,1,0,43,0,0
"ASV_102",0,66,0,32,0,0,0,15
"ASV_42",0,272,0,28,0,0,21,20
"ASV_116",0,45,0,47,0,0,57,68
"ASV_139",0,97,0,37,0,0,0,12
"ASV_140",0,29,0,7,0,0,34,80
