"","S101","S102","S103","S104","S113","S114","S115","S116"
"ASV_44",72,42,23,27,4,5,20,45
"ASV_1",1383,913,1088,809,2667,1192,2077,2613
"ASV_47",4,0,2,40,43,31,147,38
"ASV_199",0,0,0,57,0,21,0,16
"ASV_62",69,33,0,74,109,34,2,36
"ASV_27",34,51,0,17,347,20,39,139
"ASV_103",10,0,0,0,53,1,6,10
"ASV_90",0,33,90,0,0,28,27,2
"ASV_58",196,56,3,0,4,43,98,133
"ASV_17",153,32,53,25,113,210,1,145
"ASV_8",35,120,57,59,134,99,148,241
"ASV_12",401,227,0,266,240,181,36,380
"ASV_57",156,9,0,25,13,10,17,102
"ASV_85",32,46,0,21,39,18,29,29
"ASV_3",106,186,0,86,338,236,92,455
"ASV_33",60,20,15,1,11,39,35,75
"ASV_20",5,0,60,2,76,245,154,397
"ASV_35",88,17,4,115,72,79,68,40
"ASV_7",420,0,73,327,203,444,91,118
"ASV_13",0,0,0,45,183,208,154,411
"ASV_76",131,93,0,49,62,0,0,27
"ASV_92",0,0,0,62,0,5,0,51
"ASV_32",94,0,0,13,195,76,7,225
"ASV_43",59,0,96,65,51,22,73,53
"ASV_61",344,43,33,0,0,23,0,38
"ASV_78",0,0,7,0,55,71,23,0
"ASV_134",6,2,0,4,12,17,5,91
"ASV_253",1,29,47,0,1,0,0,0
"ASV_26",398,0,0,136,287,102,1,509
"ASV_66",132,0,0,23,28,2,14,103
"ASV_71",60,0,66,0,95,43,2,18
"ASV_28",90,0,0,0,110,249,56,55
"ASV_2",631,264,961,414,1155,1265,585,514
"ASV_63",2,311,3,0,0,0,6,5
"ASV_5",78,0,25,0,0,0,189,509
"ASV_4",62,72,102,38,13,0,490,447
"ASV_9",43,76,130,0,0,0,163,178
"ASV_29",0,64,44,0,11,0,57,117
"ASV_16",153,40,171,32,0,25,45,124
"ASV_18",53,50,138,40,0,0,159,73
"ASV_14",83,188,97,0,0,0,105,222
"ASV_196",17,0,29,0,19,0,0,19
"ASV_318",34,30,0,23,0,0,14,20
"ASV_40",93,71,48,53,34,69,70,81
"ASV_550",0,0,0,1,0,2,4,4
"ASV_400",1,2,0,4,0,3,2,7
"ASV_275",3,2,0,0,6,2,0,1
"ASV_106",0,22,0,0,108,102,0,31
"ASV_459",3,0,0,2,0,8,1,14
"ASV_587",0,1,0,0,0,3,0,7
"ASV_123",2,2,0,0,63,0,9,55
"ASV_87",6,0,6,0,8,0,21,4
"ASV_21",171,0,83,0,80,0,187,309
"ASV_23",47,0,86,0,99,0,207,187
"ASV_64",24,0,35,0,46,0,43,45
"ASV_387",1,35,0,0,2,0,2,2
"ASV_186",6,11,0,0,1,0,12,14
"ASV_183",4,0,0,0,4,0,10,15
"ASV_77",0,0,50,0,1,0,2,1
"ASV_10",172,0,151,0,253,0,152,81
"ASV_52",130,0,103,0,140,0,71,40
"ASV_88",3,0,55,0,2,0,3,3
"ASV_6",150,0,131,0,0,0,261,0
"ASV_46",77,154,0,0,111,0,103,92
"ASV_42",152,124,0,0,121,0,158,184
"ASV_140",1,0,0,0,6,0,1,3
"ASV_360",3,0,0,0,7,0,1,3
"ASV_131",42,0,0,0,41,0,72,33
