"","S75","S76","S83","S84","S85","S86","S93","S94"
"ASV_73",31,0,49,57,109,0,63,65
"ASV_44",23,39,104,0,90,75,40,0
"ASV_442",3,0,1,5,2,11,1,0
"ASV_54",67,0,55,366,115,0,0,0
"ASV_94",38,0,53,70,0,0,55,0
"ASV_1",1222,1843,1565,1853,1122,1359,1358,817
"ASV_20",13,0,0,0,147,0,46,0
"ASV_36",40,105,0,98,37,73,103,0
"ASV_2",552,656,701,956,295,558,491,0
"ASV_63",10,7,1,4,2,2,2,2
"ASV_142",3,2,49,0,212,0,0,2
"ASV_95",9,5,241,12,417,0,0,3
"ASV_30",110,47,161,215,197,64,129,156
"ASV_5",513,550,306,603,180,347,263,221
"ASV_4",578,563,302,810,193,284,254,235
"ASV_9",107,247,103,223,125,126,146,326
"ASV_29",65,144,87,45,124,90,76,0
"ASV_16",123,163,157,0,62,126,199,101
"ASV_18",163,140,106,431,26,105,268,184
"ASV_11",409,329,200,678,212,200,113,174
"ASV_14",138,280,112,320,273,128,148,168
"ASV_39",135,102,9,336,117,118,43,0
"ASV_70",0,50,0,56,83,62,0,36
"ASV_50",73,99,81,150,110,82,42,29
"ASV_86",7,5,273,11,453,4,10,14
"ASV_141",3,1,0,5,2,2,3,3
"ASV_49",50,66,52,104,80,97,30,104
"ASV_117",4,30,56,27,9,20,0,24
"ASV_326",23,0,41,0,17,0,0,0
"ASV_38",153,76,1,519,24,40,52,31
"ASV_40",26,58,22,25,0,23,0,0
"ASV_87",0,23,15,7,0,7,37,0
"ASV_21",0,173,145,62,0,86,244,0
"ASV_23",0,283,249,142,0,89,300,0
"ASV_64",0,40,23,8,0,17,63,0
"ASV_72",0,125,53,49,0,70,42,0
"ASV_10",0,143,143,110,0,99,355,0
"ASV_88",0,16,18,12,0,22,20,0
"ASV_217",0,14,0,4,0,14,0,0
"ASV_211",89,1,3,0,0,1,13,38
"ASV_168",46,0,5,2,3,3,4,49
"ASV_89",7,16,72,19,0,16,51,0
"ASV_6",50,217,223,247,156,79,438,165
