"","S51","S52","S59","S60","S61","S62","S69","S70"
"ASV_73",0,34,65,33,61,0,0,53
"ASV_44",28,0,64,88,64,40,69,0
"ASV_549",0,0,9,0,8,3,12,0
"ASV_112",0,8,0,212,12,0,0,7
"ASV_442",2,4,1,1,0,0,0,2
"ASV_54",169,0,64,144,92,70,73,43
"ASV_1",1518,466,2353,1998,2396,1663,1652,2014
"ASV_27",0,0,36,92,0,16,0,21
"ASV_36",78,0,0,65,23,26,40,94
"ASV_2",835,83,1081,609,635,692,694,734
"ASV_63",4,0,9,5,0,1,2,4
"ASV_142",4,0,0,4,3,179,0,1
"ASV_95",9,0,0,19,18,655,0,9
"ASV_30",22,13,455,166,227,64,195,355
"ASV_5",460,143,354,734,402,293,231,543
"ASV_4",548,140,946,791,502,320,274,474
"ASV_9",167,0,429,103,305,234,260,228
"ASV_29",97,0,84,149,101,79,306,209
"ASV_16",146,0,313,168,177,96,162,463
"ASV_18",215,48,282,239,247,135,158,264
"ASV_11",242,124,277,305,494,208,54,231
"ASV_14",118,0,239,514,168,177,226,154
"ASV_39",94,66,129,356,145,50,23,91
"ASV_50",116,0,0,215,168,140,0,117
"ASV_86",10,0,0,11,63,601,0,29
"ASV_141",3,0,1,6,2,3,2,1
"ASV_49",62,0,125,41,13,88,150,107
"ASV_117",5,0,3,34,89,55,32,1
"ASV_38",73,21,181,451,48,1,55,58
"ASV_40",41,0,42,43,36,25,67,32
"ASV_87",61,0,15,0,36,17,20,0
"ASV_345",31,0,3,0,0,1,4,0
"ASV_303",20,0,4,0,0,4,7,0
"ASV_21",85,0,153,0,249,183,158,0
"ASV_23",124,0,144,0,151,168,218,0
"ASV_64",10,0,56,0,34,38,50,0
"ASV_77",30,0,40,0,61,0,23,0
"ASV_160",0,0,51,0,17,0,9,0
"ASV_72",92,0,96,0,126,124,110,0
"ASV_10",88,0,198,0,191,284,210,0
"ASV_169",0,0,24,0,18,35,13,0
"ASV_188",0,0,24,0,13,25,11,0
"ASV_88",9,0,51,0,44,57,29,0
"ASV_217",7,0,22,0,19,14,0,0
"ASV_211",0,0,0,1,2,1,5,68
"ASV_89",0,0,0,17,13,23,74,42
"ASV_6",0,0,0,483,275,234,405,205
"ASV_156",9,0,18,0,44,21,0,0
