,RR_M_042822,RR_M_060122,RR_M_070522,RR_D_042822,RR_D_060122,RR_D_070522,RR_K_042822,RR_K_060122,RR_K_070522
ASV 1,0,0,0,0,0,0,0,0,0
ASV 18,0,0,0,0,0,0.85010457,0,0,0
ASV 119,0,0,0,0,0,0,0,0,0
ASV 24,0,0,0,-0.870192653,0,0,0,0,0
ASV 3,0,0,0,0,0,0,0,0,0
ASV 93,0,0,0,0,0,0,0,0,0
