,RR_M_042822,RR_M_060122,RR_M_070522,RR_M_072022,RR_M_091322,RR_D_042822,RR_D_060122,RR_D_070522,RR_D_072022,RR_D_091322,RR_K_042822,RR_K_060122,RR_K_070522,RR_K_072022,RR_K_091322
ASV 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.414131875
ASV 18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV 119,0,0,0,0,0,0,-2.321928095,0,0,0,0,0,0,0,0
ASV 24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV 3,0,-0.836038442,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV 93,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.712718048,0
