,RR_M_042822,RR_M_060122,RR_M_070522,RR_D_042822,RR_D_060122,RR_D_070522,RR_K_042822,RR_K_060122,RR_K_070522
ASV 106,0,0,0,0,0,0,0,0,0
ASV 111,0,0,0,0,0,4.807354922,0,0,0
ASV 18,0,0,0,0,0,0,0,0,0
ASV 38,0,0,0,0,0,0,0,0,0
ASV 49,0,0,0,0,0,0,0,0,0
