OTU_121 	 Nitrospira-sp.Smid-bin44
OTU_122 	 Nitrospira-sp.kreftii
OTU_123 	 Nitrospira-sp.Smid-bin44
OTU_124 	 Nitrospira-sp.Smid-bin44
OTU_125 	 Nitrospira-sp.LPPL-bin249
OTU_126 	 Nitrospira-sp.kreftii
OTU_127 	 Nitrospira-sp.LPPL-bin249
OTU_128 	 Nitrospira-sp.LPPL-bin249
OTU_129 	 Nitrospira-sp.Smid-bin44
OTU_130 	 Nitrospira-sp.Smid-bin44
OTU_131 	 Nitrospira-sp.RSF10-CG24-C
OTU_132 	 Nitrospira-sp.Smid-bin44
OTU_133 	 Nitrospira-sp.RSF3
OTU_134 	 Nitrospira-sp.LM-bin98
OTU_135 	 Nitrospira-sp.LPPL-bin249
OTU_136 	 Nitrospira-sp.GGF-bin22
OTU_137 	 Nitrospira-sp.LM-bin98
OTU_138 	 Nitrospira-sp.Smid-bin44
OTU_139 	 Nitrospira-sp.LPPL-bin249
OTU_140 	 Nitrospira-sp.RSF10-CG24-C
OTU_141 	 Nitrospira-sp.LM-bin98
OTU_142 	 Nitrospira-sp.GGF-bin22
OTU_143 	 Nitrospira-sp.Smid-bin44
OTU_144 	 Nitrospira-sp.RSF10-CG24-C
OTU_145 	 Nitrospira-sp.LPPL-bin249
OTU_146 	 Nitrospira-sp.LPPL-bin249
OTU_147 	 Nitrospira-sp.LPPL-bin249
OTU_148 	 Nitrospira-sp.GGF-bin22
OTU_149 	 Nitrospira-sp.Smid-bin44
