"","S123","S124","S131","S132","S133","S134","S141","S142"
"ASV_60",12,0,230,47,29,0,4,5
"ASV_13",471,463,184,1,509,593,584,690
"ASV_44",58,112,47,23,2,20,31,0
"ASV_23",0,51,19,3,19,8,15,85
"ASV_33",0,24,0,1,0,6,13,13
"ASV_1",48,221,211,231,117,196,285,154
"ASV_10",0,20,29,13,0,13,30,23
"ASV_2",891,600,629,334,748,750,1067,946
"ASV_24",65,56,72,52,122,64,134,43
"ASV_5",363,435,203,91,413,402,590,508
"ASV_40",30,46,24,45,62,32,31,56
"ASV_25",5,33,24,33,0,16,0,15
"ASV_3",82,94,147,84,16,151,55,41
"ASV_19",64,80,190,206,108,95,100,63
"ASV_11",130,187,255,130,208,152,177,188
"ASV_42",16,47,10,0,40,91,21,0
"ASV_8",49,279,52,9,216,205,172,91
"ASV_9",725,267,547,662,265,315,62,102
"ASV_27",200,188,115,204,88,155,13,53
"ASV_21",288,149,183,331,207,230,51,74
"ASV_6",31,15,14,11,13,0,87,57
"ASV_32",3,58,0,2,17,19,8,53
"ASV_22",11,15,56,74,48,23,76,128
"ASV_18",15,89,117,55,89,87,120,71
"ASV_15",194,377,243,22,80,249,263,81
"ASV_43",26,45,34,0,37,92,69,69
"ASV_45",19,28,145,34,16,23,62,48
"ASV_26",131,146,128,254,144,150,26,14
"ASV_20",40,94,119,146,84,72,36,0
"ASV_50",18,26,43,30,14,18,9,0
"ASV_37",82,29,56,184,21,14,6,0
"ASV_16",323,141,99,517,175,230,35,104
"ASV_63",8,19,18,24,87,69,34,29
"ASV_164",1,4,0,1,13,3,4,12
"ASV_36",89,102,60,58,219,75,20,21
"ASV_105",36,0,8,0,35,9,13,27
"ASV_115",33,11,10,0,32,23,13,0
"ASV_12",200,144,35,242,270,216,231,774
