"","S173","S174","S175","S176","S185","S186","S187","S188"
"ASV_48",15,60,0,35,0,31,24,12
"ASV_4",312,298,224,437,481,1119,298,515
"ASV_17",120,5,105,48,289,93,46,35
"ASV_101",38,10,7,12,0,4,0,7
"ASV_30",21,32,14,39,98,88,35,18
"ASV_7",159,214,0,144,288,361,16,47
"ASV_23",33,95,24,29,19,22,61,20
"ASV_47",52,20,25,37,23,52,0,12
"ASV_33",31,56,15,28,22,30,35,46
"ASV_1",1537,1648,1315,1821,1531,1879,795,1110
"ASV_10",201,194,181,89,257,365,68,75
"ASV_53",17,0,55,37,9,0,8,62
"ASV_2",558,505,598,377,356,116,897,479
"ASV_24",32,45,15,0,15,0,152,36
"ASV_5",11,39,63,0,14,0,160,135
"ASV_25",203,62,256,126,84,42,135,99
"ASV_3",696,596,1377,655,1159,556,417,543
"ASV_8",179,80,110,78,14,0,82,563
"ASV_6",96,108,71,165,45,8,652,263
"ASV_32",24,22,17,17,11,11,30,14
"ASV_57",59,18,32,24,18,19,7,24
"ASV_22",27,106,34,4,0,4,65,67
"ASV_18",51,122,35,54,37,0,89,122
"ASV_15",145,72,179,168,78,46,369,246
"ASV_70",0,17,0,62,0,20,0,22
