"","S145","S146","S153","S154","S159","S160","S167","S168"
"ASV_4",52,348,1059,1203,730,1129,212,13
"ASV_41",0,77,18,22,86,109,0,31
"ASV_33",37,73,42,42,28,44,42,16
"ASV_1",171,838,1182,962,767,499,1335,1137
"ASV_10",0,107,139,130,241,145,140,188
"ASV_2",841,488,148,182,51,19,393,365
"ASV_25",58,71,27,30,0,25,68,11
"ASV_3",282,863,543,895,682,448,602,147
"ASV_6",137,549,0,106,11,14,958,156
