"","S171","S172","S179","S180","S181","S182","S189","S190"
"ASV_13",309,339,80,6,481,479,631,376
"ASV_48",0,16,0,19,6,10,0,3
"ASV_44",71,79,108,32,7,88,24,23
"ASV_23",26,35,41,59,42,12,27,52
"ASV_33",6,31,3,8,13,5,12,17
"ASV_1",87,286,274,200,129,291,229,290
"ASV_53",11,43,38,12,5,15,0,13
"ASV_2",634,596,644,132,655,766,1014,712
"ASV_24",22,55,124,44,126,77,203,70
"ASV_5",465,335,227,122,374,381,502,619
"ASV_40",75,54,21,32,84,48,42,73
"ASV_3",49,79,167,39,52,81,114,32
"ASV_19",71,95,115,123,54,81,131,79
"ASV_11",167,89,229,65,120,142,211,219
"ASV_8",75,569,95,111,146,363,190,187
"ASV_9",796,183,562,733,240,237,40,128
"ASV_27",203,66,145,185,132,119,0,37
"ASV_21",275,99,263,306,211,177,39,139
"ASV_6",10,18,14,0,37,0,97,38
"ASV_32",10,37,32,0,18,44,66,86
"ASV_22",27,21,65,90,69,28,90,135
"ASV_18",62,154,56,111,122,160,64,123
"ASV_15",144,110,105,0,84,181,278,147
"ASV_43",15,68,90,15,21,123,54,44
"ASV_45",12,90,100,48,5,25,76,50
"ASV_26",144,202,117,206,146,185,0,15
"ASV_20",68,115,249,85,112,71,44,42
"ASV_16",456,147,195,849,233,140,15,144
"ASV_164",4,5,1,2,10,4,11,11
"ASV_36",94,89,26,61,164,90,13,23
"ASV_96",19,16,13,28,18,0,18,0
"ASV_12",165,201,83,242,255,332,304,790
