"","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32","S33","S34","S35","S36","S37","S38","S39","S40","S41","S42","S43","S44","S45","S46","S47","S48","S49","S50","S51","S52","S53","S54","S55","S56","S57","S58","S59","S60","S61","S62","S63","S64","S65","S66","S67","S68","S69","S70","S71","S72","S73","S74","S75","S76","S77","S78","S79","S80","S81","S82","S83","S84","S85","S86","S87","S88","S89","S90","S91","S92","S93","S94","S95","S96","S97","S98","S99","S100","S101","S102","S103","S104","S105","S106","S107","S108","S109","S110","S111","S112","S113","S114","S115","S116","S117","S118","S119","S120"
"ASV_133",0,0,0,0,65,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,2,0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,7,0,15,0,0,0,16,0,6,0,0,0,0,0,0,0
"ASV_20",0,0,0,0,103,0,0,31,0,25,0,0,0,3,37,7,0,44,27,0,0,19,1,10,18,0,0,12,14,7,7,40,20,0,0,0,0,28,27,51,0,28,17,0,0,62,8,16,0,0,0,0,0,28,26,14,18,0,0,0,0,20,11,27,7,20,22,0,0,15,5,14,11,1,0,16,20,19,9,32,14,0,0,33,0,0,31,0,15,21,0,7,0,34,13,0,6,0,0,1,0,21,1,24,34,0,0,0,0,51,40,12,32,13,42,32,2,14,4
"ASV_65",0,0,0,0,50,26,0,6,43,42,31,0,0,0,12,9,14,0,0,0,0,7,0,0,0,0,0,7,0,0,10,0,5,0,6,0,0,0,0,10,0,0,8,0,0,0,0,0,0,0,0,0,0,20,0,5,0,0,0,0,0,0,0,4,0,32,0,0,0,16,0,0,12,0,0,6,5,0,0,0,13,0,0,0,0,0,54,12,9,0,0,0,0,0,0,0,24,0,0,10,13,0,0,4,92,0,0,0,0,0,0,0,0,0,7,0,0,0,0
"ASV_35",1,50,0,0,13,81,0,16,9,21,0,0,0,1,23,16,40,8,3,2,0,6,0,1,4,0,15,9,11,9,33,17,15,0,0,0,0,14,55,25,0,1,8,0,0,11,1,5,6,0,0,3,6,7,4,3,8,6,19,3,0,7,4,11,3,11,3,0,0,31,5,10,8,0,0,9,9,0,5,11,16,0,0,0,0,30,16,18,10,8,0,0,0,6,2,13,2,0,2,10,4,1,34,28,7,0,0,0,0,11,1,6,14,9,6,1,0,16,0
"ASV_60",0,0,0,0,0,0,0,0,27,7,0,0,0,0,0,0,0,49,0,0,0,41,0,4,0,0,0,0,0,0,0,14,0,0,0,0,0,0,26,10,0,0,4,0,0,13,0,6,0,0,0,0,0,0,0,11,6,0,0,0,0,0,9,0,15,24,10,0,0,0,8,0,0,0,0,0,0,0,8,6,7,0,0,0,0,0,0,0,0,0,0,0,0,14,9,0,52,0,0,12,0,0,22,34,31,0,0,0,0,0,0,0,0,16,0,0,0,0,0
"ASV_7",0,0,0,0,103,0,0,96,91,72,0,8,0,18,54,37,87,45,24,0,0,36,7,24,33,0,0,25,7,33,18,73,49,0,0,7,0,28,232,63,17,25,45,0,0,15,6,19,23,11,0,21,26,36,21,23,38,0,0,0,0,66,11,66,32,22,19,0,0,9,2,21,18,0,0,56,18,15,12,42,13,0,0,0,0,0,88,45,50,16,2,0,0,20,4,0,45,0,0,57,0,13,104,137,70,8,0,0,0,31,10,31,76,13,14,41,0,12,1
"ASV_51",0,0,0,0,0,0,0,15,116,20,0,17,0,7,23,19,0,0,2,0,0,9,82,0,0,0,0,0,0,0,5,4,6,0,0,0,0,22,0,0,0,11,17,6,0,0,0,0,0,0,0,0,0,0,41,0,6,0,0,0,0,18,7,0,3,0,4,0,0,0,0,4,0,0,0,0,0,18,9,3,6,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,13,40,0,0,0,0,0,15,62,9,0,0,0,0,0,0,0
"ASV_13",0,0,0,0,0,0,0,12,4,0,0,3,0,5,36,25,0,31,12,0,0,51,0,13,19,0,0,36,15,44,12,21,36,0,0,5,0,89,124,13,55,41,85,0,5,24,0,29,30,0,0,7,15,0,28,8,12,0,0,0,0,41,8,26,11,61,80,6,0,18,11,41,25,0,0,31,31,34,50,68,18,55,0,0,0,0,28,16,40,12,11,0,0,72,24,0,6,0,0,0,0,0,14,8,4,0,0,0,0,16,35,28,41,16,50,47,0,3,12
"ASV_76",50,0,0,0,12,0,0,0,0,21,0,0,0,0,10,12,0,0,2,0,0,9,3,1,4,0,0,23,0,47,12,0,13,0,0,0,0,0,0,4,8,0,9,0,0,7,0,2,0,0,0,0,3,0,0,4,0,0,0,3,0,0,0,2,0,0,0,0,0,16,6,0,0,0,0,10,4,0,3,5,5,0,0,0,0,0,14,13,25,0,0,0,0,1,1,5,3,0,12,14,20,0,15,13,9,0,0,0,0,0,0,11,0,0,0,0,0,0,0
"ASV_99",0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,29,0,1,0,0,0,0,0,0,0,0,0,7,5,4,0,0,0,0,0,0,0,7,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,9,15,4,0,0,0,0,0,0,0,0,0,2,0,6,7,3,17,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,9,9,3,1,0,4,0,0
"ASV_92",0,0,0,0,4,0,0,0,0,1,0,0,0,0,9,12,7,0,6,0,0,12,0,4,0,0,0,0,0,0,0,21,15,0,0,0,0,0,11,12,0,7,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,15,6,0,0,0,0,0,0,0,0,0,0,12,4,0,7,13,0,0,0,0,0,0,13,15,26,0,0,0,0,3,3,0,0,0,0,0,0,0,15,0,10,0,0,0,0,0,0,0,0,0,7,3,0,0,0
"ASV_32",0,0,0,0,3,0,0,1,15,14,0,0,0,10,20,6,14,0,5,0,0,11,0,6,5,0,0,16,22,5,0,8,3,0,0,0,0,35,32,18,1,4,0,2,0,17,9,7,0,0,0,14,13,17,4,4,5,0,0,0,0,15,4,22,21,3,6,0,0,6,4,3,11,0,0,26,18,4,33,10,29,0,0,0,0,0,33,16,61,3,13,0,0,6,0,0,0,0,0,9,0,0,3,10,5,20,0,0,0,3,9,31,13,0,25,0,0,12,12
"ASV_151",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,9,2,0,0,0,4,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,5,0,0,0,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,6,0,0,0,0,0,1,0,0,0,0,2,0,1,0
"ASV_43",25,0,0,0,10,0,0,0,0,25,0,0,0,0,2,11,23,0,1,1,0,27,15,9,11,0,0,0,3,0,0,5,3,0,0,0,0,9,5,7,3,0,44,0,0,26,10,0,9,0,0,5,2,14,6,0,6,0,0,0,0,9,4,3,0,0,3,0,0,34,7,6,13,0,0,8,0,0,1,5,0,0,0,0,0,0,0,8,0,0,3,0,0,9,7,29,10,0,0,9,0,26,14,13,4,0,0,0,0,8,1,10,2,10,4,20,0,15,17
"ASV_61",0,0,0,0,9,13,0,11,41,19,24,0,0,2,9,5,0,0,9,23,0,12,11,0,0,0,0,9,0,0,1,6,6,0,0,0,0,13,0,0,0,6,0,0,0,5,10,2,0,0,0,3,0,0,5,0,8,0,0,0,0,0,0,0,0,6,3,0,0,5,4,51,0,0,0,0,5,1,0,0,3,0,0,0,0,0,0,0,0,0,10,2,0,18,8,0,22,0,0,43,11,10,0,6,19,0,0,0,0,11,4,0,3,0,3,9,0,42,21
"ASV_78",0,0,0,0,13,0,0,5,13,13,0,0,0,5,6,22,42,0,0,0,0,1,3,0,4,0,0,0,0,0,0,18,0,0,0,0,0,5,25,26,3,0,3,0,0,5,0,3,0,0,0,2,0,11,1,4,0,0,0,0,0,5,11,10,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3,1,1,0,0,0,0,0,10,17,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,25,7,0,0,0,0,1,7,4,11,3,0,0,0,0,1
"ASV_82",13,0,0,0,8,0,0,9,24,8,0,0,0,14,5,9,4,0,0,0,0,0,0,0,2,0,0,0,0,8,0,15,7,0,0,0,0,14,12,0,5,2,1,0,0,1,0,0,0,0,0,0,0,3,8,2,0,0,0,0,0,14,12,1,0,0,0,0,0,0,0,2,0,0,1,6,0,3,0,2,2,0,0,1,0,59,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,1,0,0,0,0,2,8,6,0,0,0,0,0,5,5
"ASV_134",0,0,0,0,3,0,0,1,3,5,0,0,0,13,5,2,8,0,0,0,0,1,0,3,3,0,0,0,0,0,0,2,8,0,0,0,0,3,3,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,2,1,5,0,0,0,0,1,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,1,0,2,3,2,0,0,0,0,3,1,0,2,1,9,0,0,0,0
"ASV_55",0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,0,0,6,0,0,0,11,0,0,0,0,0,0,0,10,27,14,0,0,0,0,37,75,8,0,17,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,14,22,0,13,0,0,0,0,0,0,0,0,11,0,0,0,5,5,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,24,0,0,0,7,0,0,0,0,0,5,6,2,13,0,0,40,0,1,0
"ASV_26",0,0,0,0,22,0,0,12,32,15,0,0,0,25,26,37,21,0,12,0,0,0,0,0,9,0,0,7,11,3,34,36,13,0,0,0,0,26,43,29,21,25,0,0,0,22,0,0,0,0,0,14,8,1,14,9,7,0,0,0,0,28,14,14,12,2,4,0,0,3,3,4,17,0,0,21,7,8,8,31,13,0,0,0,0,42,17,6,12,6,15,0,0,4,0,38,20,0,0,44,0,0,35,61,1,0,0,0,0,24,5,39,17,0,56,0,0,3,12
