"","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S121","S122","S123","S124","S125","S126","S127","S128","S129","S130","S131","S132","S133","S134","S135","S136","S137","S138","S139","S140","S141","S142","S143","S144"
"ASV_44",129,27,124,59,42,16,69,38,12,0,229,27,22,0,3,3,1,27,4,10,16,0,0,7,2,15,5,17,0,14,3,2,1,24,31,13,6,1,0,3,3,8,8,26,7,3,3
"ASV_1",889,893,929,649,328,490,1003,537,318,120,849,1051,991,105,229,293,353,702,681,848,1035,273,743,651,729,1071,824,743,225,790,781,371,214,706,1044,1146,996,229,512,574,684,837,624,1031,1103,394,812
"ASV_3",241,252,35,15,747,506,51,435,849,1089,55,74,25,400,591,583,681,320,245,143,13,936,356,364,378,15,88,229,750,203,336,711,759,40,32,3,11,693,410,436,467,168,353,50,66,756,213
"ASV_15",0,0,0,0,81,37,0,74,53,21,0,4,0,295,245,15,17,14,10,13,0,0,0,0,6,0,7,0,1,1,23,34,111,9,0,0,0,226,159,9,6,0,2,0,0,0,0
"ASV_175",1,0,0,0,4,0,0,0,3,2,0,0,0,3,11,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,10,5,0,0,0,0,3,9,0,2,0,0,0,0,0,0
"ASV_6",19,110,172,280,74,233,154,197,18,49,144,126,241,479,189,387,227,219,338,268,176,67,183,258,163,149,351,291,175,274,139,151,177,473,173,114,264,130,180,260,120,267,293,171,106,121,251
