"","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32","S33","S34","S35","S36","S37","S38","S39","S40","S41","S42","S43","S44","S45","S46","S47","S48","S49","S50","S51","S52","S53","S54","S55","S56","S57","S58","S59","S60","S61","S62","S63","S64","S65","S66","S67","S68","S69","S70","S71","S72","S73","S74","S75","S76","S77","S78","S79","S80","S81","S82","S83","S84","S85","S86","S87","S88","S89","S90","S91","S92","S93","S94","S95","S96","S97","S98","S99","S100","S101","S102","S103","S104","S105","S106","S107","S108","S109","S110","S111","S112","S113","S114","S115","S116","S117","S118","S119","S120","S121","S122","S123","S124","S125","S126","S127","S128","S129","S130","S131","S132","S133","S134","S135","S136","S137","S138","S139","S140","S141","S142","S143","S144","S145","S146","S147","S148","S149","S150","S151","S152","S153","S154","S155","S156","S157","S158","S159","S160","S161","S162","S163","S164","S165","S166","S167","S168","S169","S170","S171","S172","S173","S174","S175","S176","S177","S178","S179","S180","S181","S182","S183","S184","S185","S186","S187","S188","S189","S190","S191","S192"
"ASV_691",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1",889,893,929,649,328,490,1003,537,318,120,849,1051,991,105,229,293,353,702,681,848,1035,273,743,713,768,1073,1177,659,633,716,592,212,651,1002,959,907,1096,192,106,333,871,603,612,950,1139,361,915,887,681,1156,949,887,734,820,559,943,658,1056,1100,1031,1050,218,462,448,681,634,766,1012,1175,435,780,494,908,1200,992,496,728,837,758,157,651,967,1146,914,1115,366,304,599,652,424,892,896,1116,638,814,874,761,1071,892,561,684,838,483,99,342,1056,1135,1041,1051,113,221,639,552,760,669,637,1149,412,771,651,729,1071,824,743,225,790,781,371,214,706,1044,1146,996,229,512,574,684,837,624,1031,1103,394,812,525,766,1014,990,702,846,719,574,609,434,1010,1161,1052,1132,160,317,534,574,872,598,1003,1073,392,796,560,818,1037,939,723,729,971,473,518,532,1059,1069,1003,1142,345,209,532,674,571,753,855,1093,361,776
"ASV_404",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"ASV_195",0,0,16,0,0,0,0,0,29,0,0,0,0,0,9,0,3,0,0,0,0,6,0,0,11,0,0,0,0,0,0,34,0,0,0,9,0,6,15,0,10,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,22,0,0,0,0,0,0,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,18,0,0,0,0,0,15,0,7,0,1,20,0,2,2,0,3,11,0,0,0,0,0,3,0,2,0,0,0,0,8,0,0,0,0,0,0,8,3,7,11,4,0,0,0,0,2,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"ASV_358",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,27,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,5,0,4,0,2,35,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,26,0,0,1,4,4,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,109,0,0,0,13,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,21,0,0,13,8,0,0,16,0,0,8,0,0,0,0,0,7,0,0,0,5,3,0,0,16,0,0,6,0,0,0,4,0,0,10,0,0,6,0,0,0,0,0
"ASV_532",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,22,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,5,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
"ASV_3",241,252,35,15,747,506,51,435,849,1089,55,74,25,400,591,583,681,320,245,143,13,936,356,257,318,46,61,399,273,273,408,703,465,3,34,33,16,894,984,690,281,328,469,44,5,841,254,241,169,11,167,216,228,238,590,217,422,61,39,17,17,631,283,514,320,412,271,11,32,721,379,635,226,1,62,507,348,236,423,838,491,55,9,95,11,492,585,451,580,360,262,33,13,515,356,224,390,0,55,448,360,199,662,1054,814,57,27,32,7,778,494,464,525,251,421,313,6,595,414,364,378,15,88,229,750,203,336,711,759,40,32,3,11,693,410,436,467,168,353,50,66,756,213,494,298,81,104,323,227,282,288,484,617,19,9,49,8,748,710,482,627,153,438,82,7,562,316,437,286,9,92,132,332,55,535,539,609,28,70,73,4,558,763,489,419,402,274,97,8,684,372
"ASV_15",0,0,0,0,81,37,0,74,53,21,0,4,0,295,245,15,17,14,10,13,0,0,0,0,6,0,0,6,0,5,47,189,70,0,0,0,0,167,149,25,0,7,5,0,0,0,0,0,1,0,0,8,6,6,13,13,19,0,0,0,0,318,271,91,80,0,12,0,0,7,0,2,4,0,0,9,7,0,5,110,23,0,0,1,0,343,239,34,17,0,0,0,0,0,0,0,0,0,0,22,18,0,16,55,13,0,0,0,0,295,505,6,66,0,7,0,0,0,0,0,6,0,7,0,1,1,23,34,111,9,0,0,0,226,159,9,6,0,2,0,0,0,0,0,1,0,0,7,5,0,40,49,31,0,0,0,0,274,155,10,1,0,4,0,0,0,0,0,0,3,0,17,0,0,93,55,24,0,0,11,0,93,210,49,11,0,9,0,0,0,0
"ASV_175",1,0,0,0,4,0,0,0,3,2,0,0,0,3,11,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,6,4,0,0,0,0,8,8,1,6,0,1,0,0,0,0,0,3,0,0,3,2,0,0,0,8,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,10,6,0,0,0,0,18,18,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,4,0,0,0,0,2,8,0,2,0,1,0,0,0,0,0,1,0,0,2,0,0,0,10,5,0,0,0,0,3,9,0,2,0,0,0,0,0,0,0,3,0,0,1,0,0,0,2,6,0,0,0,0,4,21,8,3,0,0,0,0,0,0,0,0,0,0,1,0,0,2,5,7,0,0,0,0,9,17,4,2,0,0,0,0,0,0
"ASV_540",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"ASV_6",19,110,172,280,74,233,154,197,18,49,144,126,241,479,189,387,227,219,338,268,176,67,183,289,169,114,2,205,337,259,226,132,91,235,270,176,149,15,17,229,102,319,182,267,112,80,112,133,424,99,131,164,273,200,120,100,163,149,88,219,211,107,258,223,183,233,226,246,66,115,122,149,121,72,225,259,153,194,88,163,107,223,116,220,125,50,131,188,32,495,121,336,136,125,103,163,114,182,295,237,194,221,106,64,89,139,66,174,210,94,38,172,129,237,177,301,104,273,95,258,163,149,351,291,175,274,139,151,177,473,173,114,264,130,180,260,120,267,293,171,106,121,251,238,187,174,176,234,170,268,371,121,186,224,78,154,131,96,67,244,73,251,237,181,165,325,168,282,163,213,238,401,185,250,167,148,109,156,120,148,121,277,73,204,170,303,238,314,121,234,130
