ASVid;Domain;Genus;Clade;Species
ASV_855;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_857;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_864;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_865;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_868;Bacteria;Nitrospira;Clade A;Nitrospira-sp.CTRL-LIN-TMP1
ASV_881;Bacteria;Nitrospira;Clade A;Nitrospira-sp.CTRL-LIN-TMP1
ASV_888;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_889;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_896;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_900;Bacteria;Nitrospira;Clade B;Nitrospira-sp.RSF3
ASV_904;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_912;Bacteria;Nitrospira;Clade B;Nitrospira-sp.RCB
ASV_918;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_925;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_933;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_936;Bacteria;Nitrospira;Clade B;Nitrospira-sp.RSF48
ASV_938;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_943;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_945;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_951;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_956;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_970;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_972;Bacteria;Nitrospira;Clade B;Nitrospira-sp.RSF48
ASV_973;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_975;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_986;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_988;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_995;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_1004;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_1009;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_1013;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_1016;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_1023;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_1030;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_1034;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_1038;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_1051;Bacteria;Nitrospira;Clade A;Nitrospira-sp.CTRL-LIN-TMP1
ASV_1055;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_1063;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_1067;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_1069;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_1070;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_1097;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_1098;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_1104;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_1107;Bacteria;Nitrospira;Clade A;Nitrospira-sp.CTRL-LIN-TMP1
ASV_1132;Bacteria;Nitrospira;Clade B;Nitrospira-sp.RSF3
ASV_1133;Bacteria;Nitrospira;Clade B;Nitrospira-sp.RSF48
ASV_1135;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_1143;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_1168;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_1169;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_1170;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_1175;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_1183;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_1191;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_1193;Bacteria;Nitrospira;Clade A;Nitrospira-sp.UBA2082
ASV_1202;Bacteria;Nitrospira;Clade B;Nitrospira-sp.RSF48
ASV_1203;Bacteria;Nitrospira;Clade B;Nitrospira-sp.RSF3
ASV_1224;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_1225;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_1229;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_1232;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_1241;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_1273;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_1283;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_1286;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_1302;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_1303;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_1309;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_1310;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_1319;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_1322;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_1325;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_1329;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_1336;Bacteria;Nitrospira;Clade A;Nitrospira-sp.YR-XLJ2
ASV_1343;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_1350;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_1364;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_1367;Bacteria;Nitrospira;Clade A;Nitrospira-sp.A2
ASV_1368;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_1393;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_1411;Bacteria;Nitrospira;Clade A;Nitrospira-sp.CTRL-LIN-TMP1
ASV_1413;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_1431;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_1432;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_1463;Bacteria;Nitrospira;Clade A;Nitrospira-sp.CTRL-LIN-TMP1
ASV_1472;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_1498;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_1504;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_1517;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_1522;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_1524;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_1526;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_1531;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_1536;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_1555;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_1575;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_1579;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_1591;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_1629;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_1670;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_1681;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_1683;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_1685;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_1691;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_1699;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_1724;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_1733;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_1736;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_1739;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_1755;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_1790;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_1797;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_1805;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_1812;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_1825;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_1831;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_1872;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_1873;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_1886;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_1894;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_1900;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_1903;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_1926;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_1950;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_1954;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_2014;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_2032;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_2040;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_2041;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_2049;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_2058;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_2064;Bacteria;Nitrospira;Clade B;Nitrospira-sp.RSF48
ASV_2076;Bacteria;Nitrospira;Clade A;Nitrospira-sp.YR-XLJ2
ASV_2105;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_2106;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_2129;Bacteria;Nitrospira;Clade B;Nitrospira-sp.RCB
ASV_2156;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_2175;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_2216;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_2217;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_2218;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_2219;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_2227;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_2235;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_2238;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_2285;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_2287;Bacteria;Nitrospira;Clade B;Nitrospira-sp.RCB
ASV_2291;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_2318;Bacteria;Nitrospira;Clade B;Nitrospira-sp.RCB
ASV_2335;Bacteria;Nitrospira;Clade A;Nitrospira-sp.YR-XLJ2
ASV_2340;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_2368;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_2369;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_2400;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_2405;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_2430;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_2431;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_2459;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_2522;Bacteria;Nitrospira;Clade B;Nitrospira-sp.RSF10-CG24-C
ASV_2549;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_2553;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_2562;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_2575;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_2577;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_2597;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_2598;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_2609;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_2631;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_2682;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_2686;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_2736;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_2771;Bacteria;Nitrospira;Clade A;Nitrospira-sp.YR-XLJ2
ASV_2775;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_2795;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_2830;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_2834;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_2845;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_2861;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_2863;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_2864;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_2870;Bacteria;Nitrospira;Clade A;Nitrospira-sp.kreftii
ASV_2877;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_2894;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_2929;Bacteria;Nitrospira;Clade A;Nitrospira-sp.RBC044
ASV_2954;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_2974;Bacteria;Nitrospira;Clade A;Nitrospira-sp.UBA2082
ASV_3058;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_3101;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_3102;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_3166;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_3187;Bacteria;Nitrospira;Clade A;Nitrospira-sp.CTRL-LIN-TMP1
ASV_3254;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_3255;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_3257;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_3289;Bacteria;Nitrospira;Clade B;Nitrospira-sp.RSF10-CG24-C
ASV_3293;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_3304;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_3322;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_3336;Bacteria;Nitrospira;Clade A;Nitrospira-sp.CTRL-LIN-TMP1
ASV_3344;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_3366;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_3370;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_3390;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_3394;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_3423;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_3424;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_3525;Bacteria;Nitrospira;Clade B;Nitrospira-sp.RSF48
ASV_3570;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_3571;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_3589;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_3599;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_3618;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_3683;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_3703;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_3705;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_3742;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_3743;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_3786;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_3794;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_3795;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_3802;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_3805;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_3807;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_3817;Bacteria;Nitrospira;Clade A;Nitrospira-sp.CTRL-LIN-TMP1
ASV_3822;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_3829;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_3833;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_3855;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_3880;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_3887;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_3901;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_3960;Bacteria;Nitrospira;Clade A;Nitrospira-sp.kreftii
ASV_3968;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_3970;Bacteria;Nitrospira;Clade B;Nitrospira-sp.RCB
ASV_4006;Bacteria;Nitrospira;Clade B;Nitrospira-sp.RSF10-CG24-C
ASV_4034;Bacteria;Nitrospira;Clade A;Nitrospira-sp.KgW63
ASV_4037;Bacteria;Nitrospira;Clade A;Nitrospira-sp.CTRL-LIN-TMP1
ASV_4068;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_4069;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_4071;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_4110;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_4139;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_4200;Bacteria;Nitrospira;Clade A;Nitrospira-sp.CTRL-LIN-TMP1
ASV_4210;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_4223;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_4288;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_4345;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_4369;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_4391;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_4403;Bacteria;Nitrospira;Clade A;Nitrospira-sp.KgW63
ASV_4421;Bacteria;Nitrospira;Clade A;Nitrospira-sp.RBC001
ASV_4422;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_4426;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_4457;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_4458;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_4514;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_4518;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_4551;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_4569;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_4572;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_4587;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_4607;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_4611;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_4625;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_4681;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_4785;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_4803;Bacteria;Nitrospira;Clade B;Nitrospira-sp.RCB
ASV_4809;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_4815;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_4824;Bacteria;Nitrospira;Clade A;Nitrospira-sp.kreftii
ASV_4848;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_4849;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_4908;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_4916;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_4939;Bacteria;Nitrospira;Clade A;Nitrospira-sp.CTRL-LIN-TMP1
ASV_4992;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_4993;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_4994;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_5003;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_5040;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_5048;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_5051;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_5073;Bacteria;Nitrospira;Clade A;Nitrospira-sp.ACE10
ASV_5097;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_5135;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_5143;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_5146;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_5160;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_5165;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_5171;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_5204;Bacteria;Nitrospira;Clade A;Nitrospira-sp.CTRL-LIN-TMP1
ASV_5221;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_5264;Bacteria;Nitrospira;Clade A;Nitrospira-sp.kreftii
ASV_5284;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_5305;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_5327;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_5328;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_5329;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_5342;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_5364;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_5370;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_5380;Bacteria;Nitrospira;Clade B;Nitrospira-sp.RCB
ASV_5399;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_5415;Bacteria;Nitrospira;Clade A;Nitrospira-sp.CTRL-LIN-TMP1
ASV_5444;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_5451;Bacteria;Nitrospira;Clade B;Nitrospira-sp.RSF10-CG24-C
ASV_5460;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_5469;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_5470;Bacteria;Nitrospira;Clade B;Nitrospira-sp.RSF3
ASV_5471;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_5474;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_5475;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_5491;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
ASV_5514;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_5517;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_5523;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_5525;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_5574;Bacteria;Nitrospira;Clade A;Nitrospira-sp.KgW63
ASV_5582;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LPPL-bin249
ASV_5601;Bacteria;Nitrospira;Clade B;Nitrospira-sp.Smid-bin44
ASV_5614;Bacteria;Nitrospira;Clade B;Nitrospira-sp.GGF-bin22
ASV_5624;Bacteria;Nitrospira;Clade B;Nitrospira-sp.LM-bin98
