"","S49","S50","S57","S58","S63","S64","S71","S72"
"ASV_44",8,0,6,3,4,7,0,0
"ASV_1",209,162,279,180,78,174,88,148
"ASV_47",8,0,1,7,5,0,10,11
"ASV_27",2,3,16,14,21,0,32,0
"ASV_90",3,0,3,0,0,0,6,5
"ASV_58",4,7,0,3,0,0,19,4
"ASV_17",4,0,21,59,35,23,9,5
"ASV_8",20,29,15,41,38,13,52,127
"ASV_110",3,10,0,0,0,4,10,4
"ASV_12",10,7,12,28,22,14,25,11
"ASV_57",16,1,2,7,7,2,16,1
"ASV_85",3,0,2,2,19,2,0,0
"ASV_3",54,34,35,32,82,49,128,49
"ASV_33",9,0,4,11,28,9,38,1
"ASV_53",5,0,0,4,14,0,20,0
"ASV_20",16,0,14,18,20,11,15,5
"ASV_35",5,6,3,8,7,4,31,5
"ASV_60",6,0,11,6,0,9,0,8
"ASV_7",19,23,23,38,66,11,9,2
"ASV_13",29,30,8,12,41,8,18,11
"ASV_76",2,0,4,0,0,0,16,6
"ASV_32",7,0,4,5,15,4,6,4
"ASV_43",0,9,0,6,9,4,34,7
"ASV_78",3,0,4,0,5,11,0,0
"ASV_134",3,0,1,5,1,0,0,0
"ASV_26",0,0,9,7,28,14,3,3
"ASV_66",0,6,5,3,8,0,5,0
"ASV_71",2,9,4,4,0,7,3,9
"ASV_28",14,6,53,23,9,12,20,11
"ASV_37",0,8,24,4,0,20,61,37
"ASV_31",5,0,74,22,0,57,16,0
"ASV_2",80,94,268,183,91,142,86,67
"ASV_63",2,0,0,0,2,0,54,2
"ASV_30",7,0,4,1,0,0,9,7
"ASV_5",49,7,4,14,0,0,0,17
"ASV_4",43,38,22,10,0,0,9,54
"ASV_9",15,18,16,6,0,0,22,28
"ASV_29",19,21,0,8,0,0,8,18
"ASV_16",32,24,9,0,0,0,9,29
"ASV_18",10,23,1,0,0,3,14,29
"ASV_11",37,16,10,8,0,0,0,15
"ASV_39",18,7,9,12,0,0,0,7
"ASV_15",0,1,0,18,228,179,7,0
"ASV_175",0,3,0,8,3,1,0,0
"ASV_40",8,13,15,18,12,16,6,0
"ASV_275",0,0,3,1,3,2,1,1
"ASV_244",0,2,0,1,2,3,3,2
"ASV_309",0,0,1,1,1,1,0,1
"ASV_64",4,6,0,2,0,4,0,0
"ASV_77",17,3,2,2,0,16,0,0
"ASV_10",15,38,31,15,0,57,0,0
"ASV_52",0,40,13,3,0,23,0,0
"ASV_89",3,4,7,11,0,8,0,0
"ASV_6",25,58,10,14,0,27,28,14
"ASV_46",0,29,0,13,0,0,3,3
"ASV_67",0,8,0,4,0,0,0,9
"ASV_42",0,37,0,6,0,0,2,4
"ASV_116",0,5,0,6,0,0,8,4
"ASV_139",0,13,0,3,0,0,0,3
