"","S53","S54","S55","S56","S65","S66","S67","S68"
"ASV_44",2,4,9,0,2,10,3,0
"ASV_54",9,0,8,2,10,0,7,4
"ASV_1",288,196,272,142,179,240,204,193
"ASV_47",0,0,2,6,5,6,2,3
"ASV_81",0,5,0,13,0,0,0,7
"ASV_27",6,5,6,12,19,3,51,4
"ASV_103",3,0,4,1,1,2,0,0
"ASV_58",3,0,26,4,0,15,5,0
"ASV_17",15,4,0,69,31,56,8,9
"ASV_8",23,15,31,17,5,31,17,3
"ASV_12",15,33,8,21,19,13,11,5
"ASV_57",8,8,0,1,3,1,5,0
"ASV_3",46,30,2,76,64,25,74,47
"ASV_33",14,8,0,12,6,4,6,1
"ASV_20",0,0,28,26,27,7,20,22
"ASV_65",0,0,20,0,4,0,32,0
"ASV_35",3,6,7,4,11,3,11,3
"ASV_7",21,26,36,21,66,32,22,19
"ASV_51",0,0,0,41,0,3,0,4
"ASV_13",7,15,0,28,26,11,61,80
"ASV_32",14,13,17,4,22,21,3,6
"ASV_43",5,2,14,6,3,0,0,3
"ASV_78",2,0,11,1,10,0,0,1
"ASV_26",14,8,1,14,14,12,2,4
"ASV_66",1,3,0,3,3,0,14,0
"ASV_59",0,3,0,9,3,41,0,6
"ASV_71",0,0,8,1,11,8,0,3
"ASV_28",15,33,31,16,0,26,1,14
"ASV_36",18,0,0,18,39,8,6,20
"ASV_2",130,87,179,149,142,243,75,90
"ASV_108",4,28,0,3,17,16,0,0
"ASV_63",1,3,97,0,0,44,1,0
"ASV_30",16,2,0,2,0,0,9,11
"ASV_5",23,5,7,11,0,0,22,15
"ASV_4",38,54,46,13,0,0,31,86
"ASV_9",10,9,12,5,0,13,23,8
"ASV_16",13,43,0,12,0,0,8,10
"ASV_18",5,18,17,5,0,0,6,7
"ASV_11",18,16,7,4,0,0,20,42
"ASV_14",11,51,12,15,0,1,3,5
"ASV_15",4,3,6,0,14,8,0,0
"ASV_40",9,9,17,12,20,14,11,10
"ASV_266",1,1,0,1,0,1,1,0
"ASV_87",8,0,14,4,4,9,1,10
"ASV_21",11,0,50,5,15,19,39,35
"ASV_23",19,0,18,9,35,25,32,28
"ASV_64",10,0,5,2,11,0,4,4
"ASV_77",7,0,0,10,12,9,1,20
"ASV_10",25,0,36,26,30,43,29,25
"ASV_52",4,0,0,6,26,4,7,3
"ASV_169",0,0,1,0,2,2,2,1
"ASV_188",0,0,1,0,1,0,6,4
"ASV_88",10,0,9,6,6,18,2,12
"ASV_158",2,0,8,5,4,5,0,7
