"","S145","S146","S153","S154","S159","S160","S167","S168"
"ASV_44",11,2,1,0,0,0,3,0
"ASV_1",154,198,135,114,22,71,72,152
"ASV_47",21,4,7,17,13,20,20,1
"ASV_81",0,5,0,5,13,6,0,0
"ASV_62",4,3,10,5,3,4,1,0
"ASV_27",11,5,27,41,11,48,5,5
"ASV_144",0,0,0,11,1,8,0,1
"ASV_130",0,5,2,3,7,3,0,5
"ASV_103",6,0,1,0,0,3,12,11
"ASV_69",9,0,0,0,2,3,15,18
"ASV_58",17,0,19,4,0,3,9,20
"ASV_17",9,11,40,51,32,54,10,0
"ASV_8",45,31,15,30,28,28,73,35
"ASV_110",6,0,0,0,1,0,12,13
"ASV_12",23,7,38,36,51,14,26,25
"ASV_57",4,2,4,14,3,2,13,14
"ASV_207",4,0,0,0,2,0,4,0
"ASV_85",1,0,4,8,10,0,4,0
"ASV_3",66,38,38,49,140,74,98,40
"ASV_33",15,8,12,3,29,19,31,7
"ASV_53",6,0,0,6,27,0,17,0
"ASV_56",12,6,0,0,8,0,19,11
"ASV_153",0,0,5,5,2,2,2,0
"ASV_20",31,13,12,34,19,39,20,11
"ASV_65",0,1,0,2,4,4,0,0
"ASV_35",13,6,22,13,7,17,18,10
"ASV_60",15,10,12,0,0,11,4,0
"ASV_7",18,11,50,35,36,80,10,10
"ASV_13",32,24,30,28,36,33,16,6
"ASV_76",4,13,2,5,7,12,0,0
"ASV_79",1,0,5,0,7,43,8,0
"ASV_32",8,3,20,41,8,10,24,5
"ASV_43",27,20,2,2,3,1,11,16
"ASV_61",4,5,0,3,6,0,8,13
"ASV_78",4,1,2,5,6,6,0,0
"ASV_82",2,12,14,4,6,1,0,0
"ASV_190",6,0,0,0,2,0,3,0
"ASV_134",1,3,0,2,5,0,1,0
"ASV_26",0,2,27,13,41,33,18,13
"ASV_66",4,0,8,5,7,9,0,0
"ASV_28",4,0,3,26,12,0,33,0
"ASV_37",1,19,12,12,13,20,32,17
"ASV_36",0,12,6,3,5,0,7,0
"ASV_2",27,64,247,109,61,212,67,78
"ASV_63",1,1,0,0,2,0,1,0
"ASV_30",5,3,1,0,0,0,6,14
"ASV_5",22,16,6,2,0,0,3,25
"ASV_4",37,36,10,7,6,0,16,61
"ASV_9",16,32,2,4,0,0,16,22
"ASV_29",10,12,5,0,0,0,2,20
"ASV_16",19,28,3,10,0,0,3,50
"ASV_18",6,39,0,11,0,4,11,32
"ASV_11",11,14,7,1,0,0,0,8
"ASV_14",25,25,12,0,2,0,11,26
"ASV_49",0,1,0,0,0,7,3,10
"ASV_38",9,4,0,6,0,0,0,21
"ASV_15",0,1,25,1,180,111,0,0
"ASV_40",3,14,19,10,13,10,11,6
"ASV_244",0,0,3,1,2,2,1,1
"ASV_309",0,1,2,1,0,1,0,0
"ASV_23",11,4,2,5,0,0,2,0
"ASV_10",18,16,34,41,0,0,34,7
"ASV_52",2,5,4,5,0,0,7,3
"ASV_6",41,44,8,28,0,0,144,46
"ASV_84",2,5,5,10,0,0,5,1
