OTU_0 	 NS-Delta-1.Incertae_sedis.2_OTU2_1-EU885632
OTU_94 	 NS-Alpha-3.2.2_OTU7_1-KF877801
OTU_95 	 NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
OTU_96 	 NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
OTU_97 	 NS-Beta-2.1_OTU1_1-FJ601605
OTU_98 	 NS-Beta-1.3_OTU1_1-EU885554
OTU_99 	 NS-Alpha-1_OTU6_1-JF520980
OTU_100 	 NS-Gamma-1.Incertae_sedis_OTU1_1-EU651089
OTU_101 	 NS-Alpha-3.2.3.1-KF754141
OTU_102 	 NS-Gamma-2.3.2.3-EU667863
OTU_103 	 NS-Gamma-1.2_OTU1_1-EU671146
OTU_104 	 NS-Gamma-1.Incertae_sedis_OTU1_1-EU651089
OTU_105 	 NS-Gamma-2.1.2.2-HQ007740
OTU_106 	 NS-Gamma-1.2_OTU1_1-EU671146
OTU_107 	 NS-Zeta-1.2_OTU8_1-EU925258
OTU_108 	 NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
OTU_109 	 NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
OTU_110 	 NS-Gamma-2.3.1_OTU5_1-KJ496887
OTU_111 	 NS-Alpha-1_OTU7_1-JN179951
OTU_112 	 NS-Gamma-2.2.1.2-JX570746
OTU_113 	 NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
OTU_114 	 NS-Zeta-1.2_OTU8_1-EU925258
OTU_115 	 NS-Alpha-3.2.3.1-AB465037
OTU_116 	 NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
OTU_117 	 NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
OTU_118 	 NS-Beta-1.3_OTU1_1-EU885554
OTU_119 	 NS-Beta-1.3_OTU1_1-EU885554
OTU_120 	 NT-Alpha_OTU7_1-JN418180
OTU_121 	 NS-Delta-2.1_OTU5_1-KC559234
OTU_122 	 NS-Gamma-1.Incertae_sedis_OTU1_1-EU651089
OTU_123 	 NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
OTU_124 	 NS-Delta-2.2.2_OTU2_1-KJ496888
OTU_125 	 NS-Delta-1.Incertae_sedis.2_OTU2_1-EU885632
OTU_126 	 NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
OTU_127 	 NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
OTU_128 	 NS-Alpha-3.1.1.3-JN688223
OTU_129 	 NS-Alpha-3.2.2_OTU4_1-FJ601579
OTU_130 	 NS-Delta-1.Incertae_sedis.2_OTU2_1-EU885632
OTU_131 	 NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
OTU_132 	 NS-Gamma-2.3.1_OTU2_1-KC469632
OTU_133 	 NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
OTU_134 	 NS-Gamma-1.Incertae_sedis_OTU1_1-EU651089
OTU_135 	 NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
OTU_136 	 NS-Alpha-1_OTU1_1-HQ215926
OTU_137 	 NS-Epsilon-2.2_OTU5_1-KC756646
OTU_138 	 NS-Alpha-3.1.2_OTU2_1-KC137506
OTU_139 	 NS-Gamma-2.3.1_OTU2_1-KC469632
OTU_140 	 NS-Alpha-1_OTU1_1-HQ215926
OTU_141 	 NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
OTU_142 	 NS-Delta-1.2.1_OTU6_1-EU590133
OTU_143 	 NS-Gamma-2.2.1.2-JX570746
OTU_144 	 NS-Delta-1.2.1_OTU6_1-EU590133
OTU_145 	 NS-Gamma-2.3.1_OTU2_1-KC469632
OTU_146 	 NS-Alpha-3.1.2_OTU2_1-KC137506
OTU_147 	 NS-Alpha-3.2.3.1-KF754141
OTU_148 	 NS-Delta-2.2.1_OTU4_1-EU671116
OTU_149 	 NS-Gamma-1.2_OTU1_1-EU671146
OTU_150 	 NS-Gamma-1.2_OTU1_1-EU671146
OTU_151 	 NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
OTU_152 	 NS-Alpha-3.1.2_OTU2_1-KC137506
OTU_153 	 NS-Gamma-2.3.1_OTU2_1-KC469632
OTU_154 	 NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
OTU_155 	 NS-Epsilon-2.2_OTU5_1-KC756646
OTU_156 	 NS-Delta-1.Incertae_sedis.2_OTU2_1-EU885632
OTU_157 	 NS-Delta-1.Incertae_sedis.2_OTU2_1-EU885632
OTU_158 	 NS-Alpha-3.2.2_OTU7_1-KF877801
OTU_159 	 NS-Alpha-3.2.2_OTU7_1-KF877801
OTU_160 	 NS-Alpha-3.2.2_OTU7_1-KF877801
OTU_161 	 NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
OTU_162 	 NS-Delta-1.Incertae_sedis.2_OTU2_1-EU885632
OTU_163 	 NS-Gamma-1.2_OTU1_1-EU671146
OTU_164 	 NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
OTU_165 	 NS-Beta-1_OTU10_1-EU671395
OTU_166 	 NS-Gamma-2.3.1_OTU5_1-KJ496887
OTU_167 	 NS-Gamma-2.2.1.1-JQ638747
OTU_168 	 NS-Gamma-2.2.1_OTU8_1-KF709701
OTU_169 	 NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
OTU_170 	 NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
OTU_171 	 NS-Delta-1.Incertae_sedis.2_OTU1_1-EU885561
